segmento,timestamp,server_id,qualidade,bitrate_kbps,vazao_kbps,download_time_s,jitter_network_ms,jitter_ewma_ms,jitter_ms,buffer_level_s,buffer_can_play,rebuffer_event,stall_duration_s,failover_total
1,2026-05-17T23:24:52.083571+00:00,A,240p,200,1082.25,0.18,0.0,0.0,0.0,2.0,0,1,0.18,0
2,2026-05-17T23:24:52.692507+00:00,A,480p,700,1152.21,0.61,96.45,96.45,96.45,3.39,1,0,0.0,0
3,2026-05-17T23:24:53.384446+00:00,A,480p,700,1015.84,0.69,79.46,79.46,79.46,4.7,1,0,0.0,0
4,2026-05-17T23:24:54.187845+00:00,A,480p,700,873.84,0.8,0.82,0.82,0.82,5.9,1,0,0.0,0
5,2026-05-17T23:24:55.102215+00:00,A,480p,700,767.52,0.91,73.29,73.29,73.29,6.99,1,0,0.0,0
6,2026-05-17T23:24:55.892209+00:00,A,360p,400,506.82,0.79,64.18,64.18,64.18,8.2,1,0,0.0,0
7,2026-05-17T23:24:56.240426+00:00,A,360p,400,1153.46,0.35,129.0,129.0,129.0,9.85,1,0,0.0,0
8,2026-05-17T23:24:56.811991+00:00,A,480p,700,1230.95,0.57,66.6,66.6,66.6,11.29,1,0,0.0,0
9,2026-05-17T23:24:57.406615+00:00,A,480p,700,1182.17,0.59,28.68,28.68,28.68,12.69,1,0,0.0,0
10,2026-05-17T23:24:58.373344+00:00,A,480p,700,725.87,0.96,103.52,103.52,103.52,13.73,1,0,0.0,0
11,2026-05-17T23:24:58.998871+00:00,A,360p,400,641.26,0.62,129.09,129.09,129.09,15.11,1,0,0.0,0
12,2026-05-17T23:24:59.333998+00:00,A,360p,400,1201.81,0.33,22.95,22.95,22.95,16.77,1,0,0.0,0
13,2026-05-17T23:25:00.071592+00:00,A,480p,700,951.6,0.74,172.38,172.38,172.38,18.04,1,0,0.0,0
14,2026-05-17T23:25:00.653532+00:00,A,480p,700,1204.86,0.58,151.31,151.31,151.31,19.46,1,0,0.0,0
15,2026-05-17T23:25:01.278060+00:00,A,480p,700,1125.17,0.62,8.54,8.54,8.54,20.83,1,0,0.0,0
16,2026-05-17T23:25:01.952300+00:00,A,480p,700,1042.17,0.67,60.36,60.36,60.36,22.16,1,0,0.0,0
17,2026-05-17T23:25:02.823616+00:00,A,480p,700,805.72,0.87,0.52,0.52,0.52,23.29,1,0,0.0,0
18,2026-05-17T23:25:03.159694+00:00,A,360p,400,1194.99,0.33,110.47,110.47,110.47,24.96,1,0,0.0,0
19,2026-05-17T23:25:03.716705+00:00,A,480p,700,1262.45,0.55,70.94,70.94,70.94,26.4,1,0,0.0,0
20,2026-05-17T23:25:04.264070+00:00,A,480p,700,1282.7,0.55,189.7,189.7,189.7,27.86,1,0,0.0,0
