segmento,timestamp,server_id,qualidade,bitrate_kbps,vazao_kbps,download_time_s,jitter_network_ms,jitter_ewma_ms,buffer_level_s,buffer_can_play,rebuffer_event,stall_duration_s,failover_total
1,2026-06-23T00:18:24.265609+00:00,A,240p,200,869.73,0.23,25.06,25.06,2.0,0,1,0.23,0
2,2026-06-23T00:18:24.771854+00:00,A,480p,600,1186.51,0.51,19.32,24.34,3.49,1,0,0.0,0
3,2026-06-23T00:18:25.491148+00:00,A,720p,900,1252.11,0.72,18.6,23.62,4.78,1,0,0.0,0
4,2026-06-23T00:18:26.444087+00:00,A,1080p,1200,1259.96,0.95,19.49,23.11,5.82,1,0,0.0,0
5,2026-06-23T00:18:27.456372+00:00,A,1080p,1200,1186.07,1.01,13.96,21.96,6.81,1,0,0.0,0
6,2026-06-23T00:18:28.203796+00:00,A,720p,900,1205.03,0.75,14.98,21.09,8.06,1,0,0.0,0
7,2026-06-23T00:18:29.150103+00:00,A,1080p,1200,1268.8,0.95,13.56,20.15,9.12,1,0,0.0,0
8,2026-06-23T00:18:30.142475+00:00,A,1080p,1200,1209.88,0.99,15.91,19.62,10.13,1,0,0.0,0
9,2026-06-23T00:18:31.159798+00:00,A,1080p,1200,1180.26,1.02,19.79,19.64,11.11,1,0,0.0,0
10,2026-06-23T00:18:31.912373+00:00,A,720p,900,1196.72,0.75,16.29,19.22,12.36,1,0,0.0,0
11,2026-06-23T00:18:32.669358+00:00,A,720p,900,1189.81,0.76,15.5,18.76,13.6,1,0,0.0,0
12,2026-06-23T00:18:33.425454+00:00,A,720p,900,1191.19,0.76,10.14,17.68,14.85,1,0,0.0,0
13,2026-06-23T00:18:34.182148+00:00,A,720p,900,1190.2,0.76,15.67,17.43,16.09,1,0,0.0,0
14,2026-06-23T00:18:34.938415+00:00,A,720p,900,1190.86,0.76,33.8,19.47,17.33,1,0,0.0,0
15,2026-06-23T00:18:35.690171+00:00,A,720p,900,1198.13,0.75,21.3,19.7,18.58,1,0,0.0,0
16,2026-06-23T00:18:36.404545+00:00,A,720p,900,1260.79,0.71,16.39,19.29,19.87,1,0,0.0,0
17,2026-06-23T00:18:37.361476+00:00,A,1080p,1200,1254.77,0.96,16.82,18.98,20.91,1,0,0.0,0
18,2026-06-23T00:18:38.344587+00:00,A,1080p,1200,1221.31,0.98,13.63,18.31,21.93,1,0,0.0,0
19,2026-06-23T00:18:39.341426+00:00,A,1080p,1200,1204.5,1.0,12.91,17.64,22.93,1,0,0.0,0
20,2026-06-23T00:18:40.386476+00:00,A,1080p,1200,1148.92,1.04,27.34,18.85,23.89,1,0,0.0,0
21,2026-06-23T00:18:41.135314+00:00,A,720p,900,1202.78,0.75,17.38,18.67,25.14,1,0,0.0,0
22,2026-06-23T00:18:41.908481+00:00,A,720p,900,1164.98,0.77,16.05,18.34,26.37,1,0,0.0,0
23,2026-06-23T00:18:42.620923+00:00,A,720p,900,1264.32,0.71,15.61,18.0,27.66,1,0,0.0,0
24,2026-06-23T00:18:43.573985+00:00,A,1080p,1200,1259.8,0.95,12.79,17.35,28.7,1,0,0.0,0
25,2026-06-23T00:18:44.552420+00:00,A,1080p,1200,1227.12,0.98,17.07,17.31,29.73,1,0,0.0,0
26,2026-06-23T00:18:45.549436+00:00,A,1080p,1200,1204.31,1.0,23.84,18.13,30.73,1,0,0.0,0
27,2026-06-23T00:18:47.258155+00:00,A,1080p,1200,1228.28,0.98,18.8,18.21,31.02,1,0,0.0,0
28,2026-06-23T00:18:49.256350+00:00,A,1080p,1200,1233.03,0.97,9.08,17.07,31.03,1,0,0.0,0
29,2026-06-23T00:18:51.256853+00:00,A,1080p,1200,1234.83,0.97,18.39,17.23,31.03,1,0,0.0,0
30,2026-06-23T00:18:53.240772+00:00,A,1080p,1200,1256.81,0.95,15.4,17.01,31.05,1,0,0.0,0
31,2026-06-23T00:18:55.265260+00:00,A,1080p,1200,1227.9,0.98,20.84,17.48,31.02,1,0,0.0,0
32,2026-06-23T00:18:57.245793+00:00,A,1080p,1200,1255.59,0.96,14.84,17.15,31.04,1,0,0.0,0
33,2026-06-23T00:18:59.249996+00:00,A,1080p,1200,1251.63,0.96,12.97,16.63,31.04,1,0,0.0,0
34,2026-06-23T00:19:01.260166+00:00,A,1080p,1200,1241.08,0.97,14.78,16.4,31.03,1,0,0.0,0
35,2026-06-23T00:19:03.260029+00:00,A,1080p,1200,1243.79,0.96,18.93,16.72,31.04,1,0,0.0,0
36,2026-06-23T00:19:05.283174+00:00,A,1080p,1200,1217.07,0.99,28.57,18.2,31.01,1,0,0.0,0
37,2026-06-23T00:19:07.261506+00:00,A,1080p,1200,1246.65,0.96,14.89,17.79,31.04,1,0,0.0,0
38,2026-06-23T00:19:09.268891+00:00,A,1080p,1200,1238.86,0.97,13.51,17.25,31.03,1,0,0.0,0
39,2026-06-23T00:19:11.255618+00:00,A,1080p,1200,1258.57,0.95,53.18,21.74,31.05,1,0,0.0,0
40,2026-06-23T00:19:13.418473+00:00,A,1080p,1200,1076.97,1.11,50.42,25.33,30.89,1,0,0.0,0
41,2026-06-23T00:19:15.357758+00:00,A,1080p,1200,1141.1,1.05,41.28,27.32,30.95,1,0,0.0,0
42,2026-06-23T00:19:17.364857+00:00,A,1080p,1200,1135.45,1.06,45.35,29.58,30.94,1,0,0.0,0
43,2026-06-23T00:19:19.274104+00:00,A,1080p,1200,1244.54,0.96,11.58,27.33,31.04,1,0,0.0,0
44,2026-06-23T00:19:21.272916+00:00,A,1080p,1200,1248.35,0.96,18.64,26.24,31.04,1,0,0.0,0
45,2026-06-23T00:19:23.283521+00:00,A,1080p,1200,1237.28,0.97,15.41,24.89,31.03,1,0,0.0,0
46,2026-06-23T00:19:25.276380+00:00,A,1080p,1200,1249.06,0.96,22.99,24.65,31.04,1,0,0.0,0
47,2026-06-23T00:19:27.275244+00:00,A,1080p,1200,1253.23,0.96,16.12,23.58,31.04,1,0,0.0,0
48,2026-06-23T00:19:29.274843+00:00,A,1080p,1200,1256.05,0.96,14.76,22.48,31.04,1,0,0.0,0
49,2026-06-23T00:19:31.266814+00:00,A,1080p,1200,1268.88,0.95,17.39,21.84,31.05,1,0,0.0,0
50,2026-06-23T00:19:33.329288+00:00,A,1080p,1200,1192.52,1.01,12.97,20.73,30.99,1,0,0.0,0
51,2026-06-23T00:19:35.332599+00:00,A,1080p,1200,1190.65,1.01,17.3,20.3,30.99,1,0,0.0,0
52,2026-06-23T00:19:37.335744+00:00,A,1080p,1200,1189.34,1.01,18.59,20.09,30.99,1,0,0.0,0
53,2026-06-23T00:19:39.336875+00:00,A,1080p,1200,1190.31,1.01,21.54,20.27,30.99,1,0,0.0,0
