segmento,timestamp,server_id,qualidade,bitrate_kbps,vazao_kbps,download_time_s,jitter_network_ms,jitter_ewma_ms,buffer_level_s,buffer_can_play,rebuffer_event,stall_duration_s,failover_total
1,2026-06-23T12:35:34.314899+00:00,A,240p,200,952.57,0.21,13.73,13.73,2.0,0,1,0.21,0
2,2026-06-23T12:35:34.827193+00:00,A,480p,600,1171.79,0.51,23.26,14.92,3.49,1,0,0.0,0
3,2026-06-23T12:35:35.570009+00:00,A,720p,900,1212.09,0.74,31.06,16.94,4.75,1,0,0.0,0
4,2026-06-23T12:35:36.288590+00:00,A,720p,900,1253.11,0.72,32.1,18.83,6.03,1,0,0.0,0
5,2026-06-23T12:35:37.005680+00:00,A,720p,900,1255.6,0.72,26.36,19.77,7.31,1,0,0.0,0
6,2026-06-23T12:35:37.759519+00:00,A,720p,900,1194.68,0.75,28.45,20.86,8.56,1,0,0.0,0
7,2026-06-23T12:35:38.483232+00:00,A,720p,900,1244.36,0.72,21.64,20.96,9.83,1,0,0.0,0
8,2026-06-23T12:35:39.197360+00:00,A,720p,900,1261.08,0.71,20.24,20.87,11.12,1,0,0.0,0
9,2026-06-23T12:35:39.881843+00:00,A,720p,900,1315.61,0.68,30.67,22.09,12.44,1,0,0.0,0
10,2026-06-23T12:35:40.623703+00:00,A,720p,900,1213.7,0.74,17.42,21.51,13.69,1,0,0.0,0
11,2026-06-23T12:35:41.346296+00:00,A,720p,900,1246.28,0.72,21.05,21.45,14.97,1,0,0.0,0
12,2026-06-23T12:35:42.079585+00:00,A,720p,900,1228.03,0.73,18.34,21.06,16.24,1,0,0.0,0
13,2026-06-23T12:35:42.810373+00:00,A,720p,900,1232.23,0.73,16.62,20.51,17.51,1,0,0.0,0
14,2026-06-23T12:35:43.562851+00:00,A,720p,900,1196.7,0.75,29.82,21.67,18.76,1,0,0.0,0
15,2026-06-23T12:35:44.280997+00:00,A,720p,900,1254.06,0.72,23.15,21.86,20.04,1,0,0.0,0
16,2026-06-23T12:35:44.992029+00:00,A,720p,900,1266.53,0.71,32.83,23.23,21.33,1,0,0.0,0
17,2026-06-23T12:35:45.732438+00:00,A,720p,900,1216.25,0.74,12.81,21.93,22.59,1,0,0.0,0
18,2026-06-23T12:35:46.480944+00:00,A,720p,900,1203.2,0.75,24.13,22.2,23.84,1,0,0.0,0
19,2026-06-23T12:35:47.188195+00:00,A,720p,900,1273.31,0.71,19.09,21.81,25.13,1,0,0.0,0
20,2026-06-23T12:35:47.890804+00:00,A,720p,900,1281.68,0.7,24.4,22.14,26.43,1,0,0.0,0
21,2026-06-23T12:35:48.581294+00:00,A,720p,900,1304.29,0.69,21.6,22.07,27.74,1,0,0.0,0
22,2026-06-23T12:35:49.293490+00:00,A,720p,900,1264.49,0.71,14.08,21.07,29.03,1,0,0.0,0
23,2026-06-23T12:35:49.981149+00:00,A,720p,900,1309.6,0.69,31.12,22.33,30.34,1,0,0.0,0
24,2026-06-23T12:35:51.068382+00:00,A,720p,900,1210.31,0.74,32.45,23.59,31.26,1,0,0.0,0
25,2026-06-23T12:35:53.158623+00:00,A,720p,900,1081.2,0.83,27.27,24.05,31.17,1,0,0.0,0
26,2026-06-23T12:35:55.095934+00:00,A,720p,900,1170.75,0.77,20.97,23.67,31.23,1,0,0.0,0
27,2026-06-23T12:35:57.073460+00:00,A,720p,900,1208.96,0.74,25.84,23.94,31.26,1,0,0.0,0
28,2026-06-23T12:35:59.062661+00:00,A,720p,900,1229.82,0.73,21.69,23.66,31.27,1,0,0.0,0
29,2026-06-23T12:36:01.075671+00:00,A,720p,900,1211.37,0.74,27.2,24.1,31.26,1,0,0.0,0
30,2026-06-23T12:36:03.094325+00:00,A,720p,900,1183.88,0.76,30.71,24.93,31.24,1,0,0.0,0
31,2026-06-23T12:36:05.077339+00:00,A,720p,900,1212.5,0.74,28.15,25.33,31.26,1,0,0.0,0
32,2026-06-23T12:36:07.067872+00:00,A,720p,900,1229.8,0.73,25.24,25.32,31.27,1,0,0.0,0
33,2026-06-23T12:36:09.088742+00:00,A,720p,900,1197.37,0.75,25.08,25.29,31.25,1,0,0.0,0
34,2026-06-23T12:36:11.054102+00:00,A,720p,900,1258.48,0.72,27.79,25.6,31.28,1,0,0.0,0
35,2026-06-23T12:36:13.083287+00:00,A,720p,900,1210.96,0.74,25.75,25.62,31.26,1,0,0.0,0
36,2026-06-23T12:36:15.062636+00:00,A,720p,900,1248.64,0.72,31.04,26.3,31.28,1,0,0.0,0
37,2026-06-23T12:36:17.094228+00:00,A,720p,900,1198.97,0.75,16.36,25.06,31.25,1,0,0.0,0
38,2026-06-23T12:36:19.105490+00:00,A,720p,900,1183.79,0.76,26.17,25.19,31.24,1,0,0.0,0
