segmento,timestamp,server_id,qualidade,bitrate_kbps,vazao_kbps,download_time_s,jitter_network_ms,jitter_ewma_ms,buffer_level_s,buffer_can_play,rebuffer_event,stall_duration_s,failover_total
1,2026-06-23T23:28:53.212936+00:00,A,240p,200,587.42,0.34,39.66,39.66,2.0,0,1,0.34,0
2,2026-06-23T23:28:53.599751+00:00,A,360p,400,1035.01,0.39,55.69,41.67,3.61,1,0,0.0,0
3,2026-06-23T23:28:54.338064+00:00,A,720p,900,1219.51,0.74,52.53,43.03,4.88,1,0,0.0,0
4,2026-06-23T23:28:55.024171+00:00,A,720p,900,1312.63,0.69,41.91,42.89,6.19,1,0,0.0,0
5,2026-06-23T23:28:56.105695+00:00,A,1080p,1200,1109.91,1.08,53.01,44.15,7.11,1,0,0.0,0
6,2026-06-23T23:28:56.854126+00:00,A,720p,900,1203.08,0.75,41.33,43.8,8.36,1,0,0.0,0
7,2026-06-23T23:28:57.621332+00:00,A,720p,900,1173.75,0.77,44.01,43.83,9.59,1,0,0.0,0
8,2026-06-23T23:28:58.344454+00:00,A,720p,900,1245.46,0.72,39.42,43.27,10.87,1,0,0.0,0
9,2026-06-23T23:28:59.111477+00:00,A,720p,900,1173.84,0.77,44.8,43.46,12.1,1,0,0.0,0
10,2026-06-23T23:28:59.861109+00:00,A,720p,900,1201.15,0.75,47.53,43.97,13.36,1,0,0.0,0
11,2026-06-23T23:29:00.634912+00:00,A,720p,900,1163.95,0.77,18.98,40.85,14.58,1,0,0.0,0
12,2026-06-23T23:29:01.328080+00:00,A,720p,900,1299.25,0.69,32.06,39.75,15.89,1,0,0.0,0
13,2026-06-23T23:29:02.041693+00:00,A,720p,900,1261.88,0.71,15.85,36.76,17.18,1,0,0.0,0
14,2026-06-23T23:29:02.822339+00:00,A,720p,900,1153.61,0.78,13.13,33.81,18.4,1,0,0.0,0
15,2026-06-23T23:29:03.532519+00:00,A,720p,900,1268.42,0.71,16.97,31.7,19.69,1,0,0.0,0
16,2026-06-23T23:29:04.247335+00:00,A,720p,900,1259.96,0.71,11.45,29.17,20.97,1,0,0.0,0
17,2026-06-23T23:29:05.022778+00:00,A,720p,900,1161.46,0.77,17.67,27.73,22.2,1,0,0.0,0
18,2026-06-23T23:29:05.747200+00:00,A,720p,900,1243.26,0.72,13.56,25.96,23.47,1,0,0.0,0
19,2026-06-23T23:29:06.525553+00:00,A,720p,900,1156.92,0.78,11.94,24.21,24.7,1,0,0.0,0
20,2026-06-23T23:29:07.350199+00:00,A,720p,900,1091.94,0.82,20.39,23.73,25.87,1,0,0.0,0
21,2026-06-23T23:29:08.286294+00:00,A,720p,900,961.97,0.94,53.38,27.44,26.94,1,0,0.0,0
22,2026-06-23T23:29:09.231693+00:00,A,720p,900,952.43,0.94,54.25,30.79,27.99,1,0,0.0,0
23,2026-06-23T23:29:10.480460+00:00,A,1080p,1200,961.37,1.25,41.69,32.15,28.74,1,0,0.0,0
24,2026-06-23T23:29:11.468936+00:00,A,1080p,1200,1214.61,0.99,42.55,33.45,29.75,1,0,0.0,0
25,2026-06-23T23:29:12.569628+00:00,A,1080p,1200,1090.69,1.1,47.63,35.22,30.65,1,0,0.0,0
26,2026-06-23T23:29:14.259715+00:00,A,1080p,1200,1159.89,1.03,42.96,36.19,30.97,1,0,0.0,0
27,2026-06-23T23:29:16.287511+00:00,A,1080p,1200,1131.24,1.06,19.76,34.14,30.94,1,0,0.0,0
28,2026-06-23T23:29:18.306818+00:00,A,1080p,1200,1113.05,1.08,14.64,31.7,30.92,1,0,0.0,0
29,2026-06-23T23:29:20.191196+00:00,A,1080p,1200,1249.33,0.96,17.44,29.92,31.04,1,0,0.0,0
30,2026-06-23T23:29:22.278969+00:00,A,1080p,1200,1146.67,1.05,15.82,28.15,30.95,1,0,0.0,0
31,2026-06-23T23:29:24.286611+00:00,A,1080p,1200,1140.35,1.05,50.92,31.0,30.95,1,0,0.0,0
32,2026-06-23T23:29:26.325901+00:00,A,1080p,1200,1101.18,1.09,36.69,31.71,30.91,1,0,0.0,0
33,2026-06-23T23:29:28.253093+00:00,A,1080p,1200,1182.18,1.02,40.46,32.8,30.98,1,0,0.0,0
34,2026-06-23T23:29:30.292807+00:00,A,1080p,1200,1139.52,1.05,36.71,33.29,30.95,1,0,0.0,0
35,2026-06-23T23:29:32.241010+00:00,A,1080p,1200,1200.48,1.0,14.32,30.92,31.0,1,0,0.0,0
36,2026-06-23T23:29:34.241710+00:00,A,1080p,1200,1201.92,1.0,22.16,29.83,31.0,1,0,0.0,0
37,2026-06-23T23:29:36.248495+00:00,A,1080p,1200,1195.92,1.0,15.81,28.07,31.0,1,0,0.0,0
38,2026-06-23T23:29:38.245809+00:00,A,1080p,1200,1201.22,1.0,44.05,30.07,31.0,1,0,0.0,0
39,2026-06-23T23:29:40.365026+00:00,A,1080p,1200,1074.84,1.12,52.84,32.92,30.88,1,0,0.0,0
40,2026-06-23T23:29:42.273949+00:00,A,1080p,1200,1171.8,1.02,44.71,34.39,30.98,1,0,0.0,0
41,2026-06-23T23:29:44.327026+00:00,A,1080p,1200,1115.93,1.08,43.91,35.58,30.92,1,0,0.0,0
42,2026-06-23T23:29:46.259491+00:00,A,1080p,1200,1192.69,1.01,16.58,33.21,30.99,1,0,0.0,0
43,2026-06-23T23:29:48.257226+00:00,A,1080p,1200,1197.53,1.0,14.59,30.88,31.0,1,0,0.0,0
44,2026-06-23T23:29:50.251598+00:00,A,1080p,1200,1206.36,0.99,14.0,28.77,31.01,1,0,0.0,0
45,2026-06-23T23:29:52.283801+00:00,A,1080p,1200,1170.55,1.03,16.29,27.21,30.97,1,0,0.0,0
46,2026-06-23T23:29:54.298269+00:00,A,1080p,1200,1156.11,1.04,48.22,29.84,30.96,1,0,0.0,0
47,2026-06-23T23:29:56.344358+00:00,A,1080p,1200,1108.35,1.08,42.82,31.46,30.92,1,0,0.0,0
48,2026-06-23T23:29:58.258108+00:00,A,1080p,1200,1206.65,0.99,43.4,32.95,31.01,1,0,0.0,0
49,2026-06-23T23:30:00.278665+00:00,A,1080p,1200,1184.23,1.01,42.77,34.18,30.99,1,0,0.0,0
50,2026-06-23T23:30:02.266214+00:00,A,1080p,1200,1201.14,1.0,14.84,31.76,31.0,1,0,0.0,0
51,2026-06-23T23:30:04.272252+00:00,A,1080p,1200,1196.32,1.0,14.76,29.64,31.0,1,0,0.0,0
52,2026-06-23T23:30:06.263957+00:00,A,1080p,1200,1208.72,0.99,19.67,28.39,31.01,1,0,0.0,0
53,2026-06-23T23:30:08.267541+00:00,A,1080p,1200,1206.28,0.99,41.2,29.99,31.01,1,0,0.0,0
54,2026-06-23T23:30:10.355537+00:00,A,1080p,1200,1109.21,1.08,47.23,32.15,30.92,1,0,0.0,0
55,2026-06-23T23:30:12.305616+00:00,A,1080p,1200,1164.68,1.03,44.63,33.71,30.97,1,0,0.0,0
56,2026-06-23T23:30:14.331663+00:00,A,1080p,1200,1137.4,1.06,43.27,34.9,30.94,1,0,0.0,0
57,2026-06-23T23:30:16.269451+00:00,A,1080p,1200,1210.02,0.99,13.54,32.23,31.01,1,0,0.0,0
58,2026-06-23T23:30:18.266041+00:00,A,1080p,1200,1216.3,0.99,17.62,30.41,31.01,1,0,0.0,0
59,2026-06-23T23:30:20.270560+00:00,A,1080p,1200,1213.0,0.99,24.16,29.62,31.01,1,0,0.0,0
60,2026-06-23T23:30:23.266080+00:00,A,1080p,1200,605.15,1.98,46.14,31.69,30.02,1,0,0.0,0
