segmento,timestamp,server_id,qualidade,bitrate_kbps,vazao_kbps,download_time_s,jitter_network_ms,jitter_ewma_ms,buffer_level_s,buffer_can_play,rebuffer_event,stall_duration_s,failover_total
1,2026-06-23T14:42:24.802442+00:00,A,240p,200,744.89,0.27,32.3,32.3,2.0,0,1,0.27,0
2,2026-06-23T14:42:25.352508+00:00,A,480p,600,1091.83,0.55,37.1,32.9,3.45,1,0,0.0,0
3,2026-06-23T14:42:26.107793+00:00,A,720p,900,1192.53,0.75,43.5,34.23,4.7,1,0,0.0,0
4,2026-06-23T14:42:26.901940+00:00,A,720p,900,1134.07,0.79,32.24,33.98,5.9,1,0,0.0,0
5,2026-06-23T14:42:27.636890+00:00,A,720p,900,1225.37,0.73,22.95,32.6,7.17,1,0,0.0,0
6,2026-06-23T14:42:28.533248+00:00,A,720p,900,1004.61,0.9,36.78,33.12,8.27,1,0,0.0,0
7,2026-06-23T14:42:29.557495+00:00,A,720p,900,878.97,1.02,51.49,35.42,9.25,1,0,0.0,0
8,2026-06-23T14:42:30.172170+00:00,A,480p,600,976.89,0.61,46.7,36.83,10.63,1,0,0.0,0
9,2026-06-23T14:42:31.401172+00:00,A,720p,900,732.59,1.23,52.91,38.84,11.41,1,0,0.0,0
10,2026-06-23T14:42:32.194917+00:00,A,480p,600,756.41,0.79,52.73,40.57,12.61,1,0,0.0,0
11,2026-06-23T14:42:32.834883+00:00,A,480p,600,938.41,0.64,59.95,43.0,13.97,1,0,0.0,0
12,2026-06-23T14:42:33.472476+00:00,A,480p,600,941.89,0.64,49.53,43.81,15.34,1,0,0.0,0
13,2026-06-23T14:42:33.988786+00:00,A,480p,600,1163.19,0.52,50.36,44.63,16.82,1,0,0.0,0
14,2026-06-23T14:42:34.961551+00:00,A,720p,900,925.75,0.97,43.53,44.49,17.85,1,0,0.0,0
15,2026-06-23T14:42:35.499599+00:00,A,480p,600,1116.24,0.54,45.47,44.62,19.31,1,0,0.0,0
16,2026-06-23T14:42:36.726640+00:00,A,720p,900,733.81,1.23,52.1,45.55,20.08,1,0,0.0,0
17,2026-06-23T14:42:37.517252+00:00,A,480p,600,759.47,0.79,44.94,45.48,21.29,1,0,0.0,0
18,2026-06-23T14:42:38.159328+00:00,A,480p,600,935.14,0.64,42.46,45.1,22.65,1,0,0.0,0
19,2026-06-23T14:42:38.876148+00:00,A,480p,600,837.6,0.72,46.35,45.26,23.94,1,0,0.0,0
20,2026-06-23T14:42:39.593291+00:00,A,480p,600,837.32,0.72,72.92,48.71,25.22,1,0,0.0,0
21,2026-06-23T14:42:40.207342+00:00,A,480p,600,977.89,0.61,60.22,50.15,26.61,1,0,0.0,0
22,2026-06-23T14:42:40.862259+00:00,A,480p,600,916.83,0.65,15.56,45.83,27.95,1,0,0.0,0
23,2026-06-23T14:42:41.365152+00:00,A,480p,600,1194.26,0.5,16.5,42.16,29.45,1,0,0.0,0
24,2026-06-23T14:42:42.123434+00:00,A,720p,900,1187.58,0.76,51.73,43.36,30.69,1,0,0.0,0
25,2026-06-23T14:42:43.602440+00:00,A,720p,900,1143.82,0.79,47.18,43.84,31.21,1,0,0.0,0
26,2026-06-23T14:42:45.653142+00:00,A,720p,900,1077.39,0.84,38.77,43.2,31.16,1,0,0.0,0
27,2026-06-23T14:42:47.891304+00:00,A,720p,900,839.99,1.07,44.55,43.37,30.93,1,0,0.0,0
