segmento,timestamp,server_id,qualidade,bitrate_kbps,vazao_kbps,download_time_s,jitter_network_ms,jitter_ewma_ms,buffer_level_s,buffer_can_play,rebuffer_event,stall_duration_s,failover_total
1,2026-06-23T14:45:14.171622+00:00,A,240p,200,455.47,0.44,25.3,25.3,2.0,0,1,0.44,0
2,2026-06-23T14:45:14.906736+00:00,A,360p,400,544.47,0.73,85.93,32.88,3.27,1,0,0.0,0
3,2026-06-23T14:45:15.360204+00:00,A,360p,400,882.63,0.45,69.01,37.4,4.81,1,0,0.0,0
4,2026-06-23T14:45:16.038114+00:00,A,480p,600,885.52,0.68,36.43,37.28,6.13,1,0,0.0,0
5,2026-06-23T14:45:16.595514+00:00,A,480p,600,1077.35,0.56,47.89,38.6,7.58,1,0,0.0,0
6,2026-06-23T14:45:17.340261+00:00,A,720p,900,1209.32,0.74,34.55,38.1,8.83,1,0,0.0,0
7,2026-06-23T14:45:18.098292+00:00,A,720p,900,1188.16,0.76,44.64,38.92,10.08,1,0,0.0,0
8,2026-06-23T14:45:18.937277+00:00,A,720p,900,1073.41,0.84,49.17,40.2,11.24,1,0,0.0,0
9,2026-06-23T14:45:19.680252+00:00,A,720p,900,1212.18,0.74,27.46,38.6,12.5,1,0,0.0,0
10,2026-06-23T14:45:20.445078+00:00,A,720p,900,1177.54,0.76,36.07,38.29,13.73,1,0,0.0,0
11,2026-06-23T14:45:21.217496+00:00,A,720p,900,1165.96,0.77,16.63,35.58,14.96,1,0,0.0,0
12,2026-06-23T14:45:21.971889+00:00,A,720p,900,1193.76,0.75,18.27,33.42,16.2,1,0,0.0,0
13,2026-06-23T14:45:22.714494+00:00,A,720p,900,1212.66,0.74,13.41,30.92,17.46,1,0,0.0,0
14,2026-06-23T14:45:23.427321+00:00,A,720p,900,1263.55,0.71,15.83,29.03,18.75,1,0,0.0,0
15,2026-06-23T14:45:24.116937+00:00,A,720p,900,1306.11,0.69,20.95,28.02,20.06,1,0,0.0,0
16,2026-06-23T14:45:25.273548+00:00,A,1080p,1200,1038.0,1.16,27.67,27.98,20.91,1,0,0.0,0
17,2026-06-23T14:45:26.209532+00:00,A,720p,900,962.11,0.94,23.61,27.43,21.97,1,0,0.0,0
18,2026-06-23T14:45:27.186884+00:00,A,720p,900,921.39,0.98,53.31,30.67,22.99,1,0,0.0,0
19,2026-06-23T14:45:27.749372+00:00,A,480p,600,1067.84,0.56,63.14,34.73,24.43,1,0,0.0,0
20,2026-06-23T14:45:28.491443+00:00,A,720p,900,1213.72,0.74,46.28,36.17,25.69,1,0,0.0,0
21,2026-06-23T14:45:29.315298+00:00,A,720p,900,1093.14,0.82,51.76,38.12,26.87,1,0,0.0,0
22,2026-06-23T14:45:30.077082+00:00,A,720p,900,1182.36,0.76,43.91,38.84,28.11,1,0,0.0,0
23,2026-06-23T14:45:31.015163+00:00,A,720p,900,960.01,0.94,39.54,38.93,29.17,1,0,0.0,0
24,2026-06-23T14:45:31.766608+00:00,A,480p,600,799.03,0.75,47.19,39.96,30.42,1,0,0.0,0
25,2026-06-23T14:45:32.784633+00:00,A,480p,600,999.94,0.6,39.34,39.89,31.4,1,0,0.0,0
26,2026-06-23T14:45:35.010181+00:00,A,720p,900,1093.24,0.82,19.74,37.37,31.18,1,0,0.0,0
27,2026-06-23T14:45:37.934329+00:00,A,720p,900,515.74,1.75,20.66,35.28,30.25,1,0,0.0,0
28,2026-06-23T14:45:38.694712+00:00,A,360p,400,792.89,0.5,47.53,36.81,31.5,1,0,0.0,0
29,2026-06-23T14:45:41.662792+00:00,srv-B,480p,600,408.04,1.47,26.72,35.55,30.53,1,0,0.0,1
30,2026-06-23T14:45:42.617277+00:00,srv-B,240p,200,472.39,0.42,59.71,38.57,31.58,1,0,0.0,1
31,2026-06-23T14:45:44.887958+00:00,srv-B,360p,400,578.4,0.69,86.35,44.54,31.31,1,0,0.0,1
32,2026-06-23T14:45:46.794423+00:00,srv-B,360p,400,671.13,0.6,91.63,50.43,31.4,1,0,0.0,1
