segmento,timestamp,server_id,qualidade,bitrate_kbps,vazao_kbps,download_time_s,jitter_network_ms,jitter_ewma_ms,buffer_level_s,buffer_can_play,rebuffer_event,stall_duration_s,failover_total
1,2026-06-22T20:07:57.795815+00:00,A,240p,200,897.59,0.22,32.06,32.06,2.0,0,1,0.22,0
2,2026-06-22T20:07:58.269308+00:00,A,480p,600,1268.07,0.47,19.57,30.5,3.53,1,0,0.0,0
3,2026-06-22T20:07:59.010753+00:00,A,720p,900,1214.47,0.74,17.14,28.83,4.79,1,0,0.0,0
4,2026-06-22T20:07:59.730450+00:00,A,720p,900,1251.09,0.72,16.23,27.26,6.07,1,0,0.0,0
5,2026-06-22T20:08:00.517091+00:00,A,720p,900,1144.77,0.79,17.81,26.08,7.28,1,0,0.0,0
6,2026-06-22T20:08:01.304725+00:00,A,720p,900,1143.42,0.79,15.03,24.7,8.49,1,0,0.0,0
7,2026-06-22T20:08:02.017826+00:00,A,720p,900,1263.07,0.71,21.85,24.34,9.78,1,0,0.0,0
8,2026-06-22T20:08:02.977006+00:00,A,1080p,1200,1251.71,0.96,19.06,23.68,10.82,1,0,0.0,0
9,2026-06-22T20:08:03.690548+00:00,A,720p,900,1262.12,0.71,18.48,23.03,12.11,1,0,0.0,0
10,2026-06-22T20:08:04.655737+00:00,A,1080p,1200,1243.86,0.96,16.88,22.26,13.14,1,0,0.0,0
11,2026-06-22T20:08:10.425156+00:00,srv-B,720p,900,156.0,5.77,35.62,23.93,9.37,1,0,0.0,1
12,2026-06-22T20:08:10.763127+00:00,srv-B,240p,200,592.56,0.34,32.21,24.97,11.04,1,0,0.0,1
13,2026-06-22T20:08:11.339324+00:00,srv-B,360p,400,694.95,0.58,32.05,25.85,12.46,1,0,0.0,1
14,2026-06-22T20:08:12.167716+00:00,srv-B,480p,600,724.76,0.83,30.7,26.46,13.63,1,0,0.0,1
15,2026-06-22T20:08:12.969124+00:00,srv-B,480p,600,749.19,0.8,43.26,28.56,14.83,1,0,0.0,1
16,2026-06-22T20:08:13.760627+00:00,srv-B,480p,600,758.54,0.79,40.35,30.03,16.04,1,0,0.0,1
17,2026-06-22T20:08:14.559212+00:00,srv-B,480p,600,751.75,0.8,42.11,31.54,17.24,1,0,0.0,1
18,2026-06-22T20:08:15.369544+00:00,srv-B,480p,600,740.98,0.81,40.6,32.67,18.43,1,0,0.0,1
19,2026-06-22T20:08:30.966676+00:00,srv-B,480p,600,38.47,15.6,41.13,33.73,4.84,1,0,0.0,1
20,2026-06-22T20:08:31.286883+00:00,srv-B,240p,200,625.79,0.32,42.35,34.81,6.52,1,0,0.0,1
21,2026-06-22T20:08:31.839695+00:00,srv-B,360p,400,724.32,0.55,34.03,34.71,7.97,1,0,0.0,1
22,2026-06-22T20:08:32.663273+00:00,srv-B,480p,600,728.93,0.82,40.16,35.39,9.14,1,0,0.0,1
23,2026-06-22T20:08:33.465084+00:00,srv-B,480p,600,748.69,0.8,41.37,36.14,10.34,1,0,0.0,1
24,2026-06-22T20:08:34.264762+00:00,srv-B,480p,600,750.84,0.8,31.38,35.54,11.54,1,0,0.0,1
25,2026-06-22T20:08:35.073368+00:00,srv-B,480p,600,742.52,0.81,30.55,34.92,12.73,1,0,0.0,1
26,2026-06-22T20:08:35.864123+00:00,srv-B,480p,600,759.18,0.79,47.54,36.5,13.94,1,0,0.0,1
27,2026-06-22T20:08:36.662655+00:00,srv-B,480p,600,751.79,0.8,27.7,35.4,15.15,1,0,0.0,1
