segmento,timestamp,server_id,qualidade,bitrate_kbps,vazao_kbps,download_time_s,jitter_network_ms,jitter_ewma_ms,jitter_ms,buffer_level_s,buffer_can_play,rebuffer_event,stall_duration_s,failover_total
1,2026-06-21T23:41:06.067499+00:00,A,240p,200,1199.2,0.17,20.1,20.1,20.1,2.0,0,1,0.17,0
2,2026-06-21T23:41:06.716602+00:00,A,720p,900,1387.16,0.65,25.3,20.75,25.3,3.35,1,0,0.0,0
3,2026-06-21T23:41:07.643469+00:00,A,1080p,1200,1295.04,0.93,24.67,21.24,24.67,4.42,1,0,0.0,0
4,2026-06-21T23:41:09.551285+00:00,A,1080p,1200,629.07,1.91,25.02,21.71,25.02,4.52,1,0,0.0,0
5,2026-06-21T23:41:09.986916+00:00,A,480p,600,1378.09,0.44,26.98,22.37,26.98,6.08,1,0,0.0,0
6,2026-06-21T23:41:10.941089+00:00,A,1080p,1200,1257.96,0.95,25.21,22.72,25.21,7.13,1,0,0.0,0
7,2026-06-21T23:41:11.875283+00:00,A,1080p,1200,1284.88,0.93,25.28,23.04,25.28,8.19,1,0,0.0,0
8,2026-06-21T23:41:12.774561+00:00,A,1080p,1200,1334.86,0.9,24.98,23.28,24.98,9.29,1,0,0.0,0
9,2026-06-21T23:41:13.694405+00:00,A,1080p,1200,1304.96,0.92,29.94,24.12,29.94,10.38,1,0,0.0,0
10,2026-06-21T23:41:14.638685+00:00,A,1080p,1200,1271.34,0.94,27.1,24.49,27.1,11.43,1,0,0.0,0
11,2026-06-21T23:41:15.546835+00:00,A,1080p,1200,1322.04,0.91,23.85,24.41,23.85,12.52,1,0,0.0,0
12,2026-06-21T23:41:16.443676+00:00,A,1080p,1200,1338.45,0.9,24.34,24.4,24.34,13.63,1,0,0.0,0
13,2026-06-21T23:41:17.353214+00:00,A,1080p,1200,1319.76,0.91,24.84,24.46,24.84,14.72,1,0,0.0,0
14,2026-06-21T23:41:18.248189+00:00,A,1080p,1200,1341.17,0.89,26.85,24.76,26.85,15.82,1,0,0.0,0
15,2026-06-21T23:41:19.142299+00:00,A,1080p,1200,1342.47,0.89,26.93,25.03,26.93,16.93,1,0,0.0,0
16,2026-06-21T23:41:20.048419+00:00,A,1080p,1200,1324.66,0.91,24.84,25.0,24.84,18.02,1,0,0.0,0
17,2026-06-21T23:41:20.949037+00:00,A,1080p,1200,1332.76,0.9,25.3,25.04,25.3,19.12,1,0,0.0,0
18,2026-06-21T23:41:21.858707+00:00,A,1080p,1200,1319.5,0.91,25.35,25.08,25.35,20.21,1,0,0.0,0
19,2026-06-21T23:41:22.753520+00:00,A,1080p,1200,1341.48,0.89,27.75,25.41,27.75,21.32,1,0,0.0,0
20,2026-06-21T23:41:23.669409+00:00,A,1080p,1200,1310.61,0.92,26.55,25.55,26.55,22.4,1,0,0.0,0
21,2026-06-21T23:41:24.569033+00:00,A,1080p,1200,1334.34,0.9,24.93,25.48,24.93,23.5,1,0,0.0,0
22,2026-06-21T23:41:25.480258+00:00,A,1080p,1200,1317.3,0.91,26.84,25.65,26.84,24.59,1,0,0.0,0
