segmento,timestamp,server_id,qualidade,bitrate_kbps,vazao_kbps,download_time_s,jitter_network_ms,jitter_ewma_ms,jitter_ms,buffer_level_s,buffer_can_play,rebuffer_event,stall_duration_s,failover_total
1,2026-06-21T17:45:47.133670+00:00,A,240p,200,1175.73,0.17,19.84,19.84,19.84,2.0,0,1,0.17,0
2,2026-06-21T17:45:47.801054+00:00,A,720p,900,1349.58,0.67,31.96,21.35,31.96,3.33,1,0,0.0,0
3,2026-06-21T17:45:48.749502+00:00,A,1080p,1200,1265.58,0.95,24.97,21.8,24.97,4.38,1,0,0.0,0
4,2026-06-21T17:45:49.666938+00:00,A,1080p,1200,1308.36,0.92,24.07,22.09,24.07,5.47,1,0,0.0,0
5,2026-06-21T17:45:50.589254+00:00,A,1080p,1200,1301.43,0.92,24.92,22.44,24.92,6.55,1,0,0.0,0
6,2026-06-21T17:45:51.540339+00:00,A,1080p,1200,1262.13,0.95,27.6,23.09,27.6,7.59,1,0,0.0,0
7,2026-06-21T17:45:52.450749+00:00,A,1080p,1200,1318.47,0.91,24.71,23.29,24.71,8.68,1,0,0.0,0
8,2026-06-21T17:45:53.358069+00:00,A,1080p,1200,1323.22,0.91,26.97,23.75,26.97,9.78,1,0,0.0,0
9,2026-06-21T17:45:54.260362+00:00,A,1080p,1200,1331.05,0.9,26.83,24.13,26.83,10.88,1,0,0.0,0
10,2026-06-21T17:45:55.173729+00:00,A,1080p,1200,1314.21,0.91,24.9,24.23,24.9,11.96,1,0,0.0,0
11,2026-06-21T17:45:56.073649+00:00,A,1080p,1200,1333.84,0.9,24.34,24.24,24.34,13.06,1,0,0.0,0
12,2026-06-21T17:45:56.971670+00:00,A,1080p,1200,1336.8,0.9,26.27,24.5,26.27,14.17,1,0,0.0,0
13,2026-06-21T17:45:57.878472+00:00,A,1080p,1200,1323.84,0.91,25.19,24.58,25.19,15.26,1,0,0.0,0
14,2026-06-21T17:45:58.786597+00:00,A,1080p,1200,1321.74,0.91,24.04,24.52,24.04,16.35,1,0,0.0,0
15,2026-06-21T17:45:59.731796+00:00,A,1080p,1200,1269.9,0.94,26.75,24.8,26.75,17.41,1,0,0.0,0
16,2026-06-21T17:46:00.648318+00:00,A,1080p,1200,1309.7,0.92,24.26,24.73,24.26,18.49,1,0,0.0,0
17,2026-06-21T17:46:01.554827+00:00,A,1080p,1200,1324.1,0.91,26.17,24.91,26.17,19.58,1,0,0.0,0
18,2026-06-21T17:46:02.465783+00:00,A,1080p,1200,1317.73,0.91,25.83,25.02,25.83,20.67,1,0,0.0,0
19,2026-06-21T17:46:03.375049+00:00,A,1080p,1200,1320.52,0.91,25.04,25.03,25.04,21.76,1,0,0.0,0
20,2026-06-21T17:46:04.277758+00:00,A,1080p,1200,1330.25,0.9,24.15,24.92,24.15,22.86,1,0,0.0,0
21,2026-06-21T17:46:05.180830+00:00,A,1080p,1200,1329.15,0.9,25.97,25.05,25.97,23.96,1,0,0.0,0
22,2026-06-21T17:46:06.137119+00:00,A,1080p,1200,1255.25,0.96,25.57,25.11,25.57,25.0,1,0,0.0,0
23,2026-06-21T17:46:07.057645+00:00,A,1080p,1200,1304.07,0.92,24.62,25.05,24.62,26.08,1,0,0.0,0
24,2026-06-21T17:46:07.956861+00:00,A,1080p,1200,1335.56,0.9,26.62,25.25,26.62,27.19,1,0,0.0,0
25,2026-06-21T17:46:08.855419+00:00,A,1080p,1200,1336.03,0.9,24.46,25.15,24.46,28.29,1,0,0.0,0
26,2026-06-21T17:46:09.757125+00:00,A,1080p,1200,1332.0,0.9,24.01,25.01,24.01,29.39,1,0,0.0,0
27,2026-06-21T17:46:10.656895+00:00,A,1080p,1200,1334.64,0.9,24.51,24.94,24.51,30.49,1,0,0.0,0
28,2026-06-21T17:46:12.049562+00:00,A,1080p,1200,1326.36,0.9,27.08,25.21,27.08,31.1,1,0,0.0,0
29,2026-06-21T17:46:14.051044+00:00,A,1080p,1200,1325.74,0.91,24.98,25.18,24.98,31.09,1,0,0.0,0
30,2026-06-21T17:46:21.543976+00:00,srv-B,1080p,1200,332.44,3.61,4.45,22.59,4.45,28.39,1,0,0.0,1
31,2026-06-21T17:46:22.040898+00:00,srv-B,360p,400,805.56,0.5,10.9,21.13,10.9,29.89,1,0,0.0,1
