segmento,timestamp,server_id,qualidade,bitrate_kbps,vazao_kbps,download_time_s,jitter_network_ms,jitter_ewma_ms,jitter_ms,buffer_level_s,buffer_can_play,rebuffer_event,stall_duration_s,failover_total
1,2026-06-21T16:45:15.021809+00:00,A,240p,200,1138.76,0.18,20.14,20.14,20.14,2.0,0,1,0.18,0
2,2026-06-21T16:45:15.670767+00:00,A,720p,900,1387.51,0.65,24.05,20.63,24.05,3.35,1,0,0.0,0
3,2026-06-21T16:45:16.612607+00:00,A,1080p,1200,1274.47,0.94,25.27,21.21,25.27,4.41,1,0,0.0,0
4,2026-06-21T16:45:17.508067+00:00,A,1080p,1200,1340.58,0.9,25.43,21.74,25.43,5.51,1,0,0.0,0
5,2026-06-21T16:45:18.417499+00:00,A,1080p,1200,1320.09,0.91,22.86,21.88,22.86,6.61,1,0,0.0,0
6,2026-06-21T16:45:19.317986+00:00,A,1080p,1200,1333.0,0.9,25.21,22.29,25.21,7.71,1,0,0.0,0
7,2026-06-21T16:45:20.218015+00:00,A,1080p,1200,1333.67,0.9,25.3,22.67,25.3,8.81,1,0,0.0,0
8,2026-06-21T16:45:21.119028+00:00,A,1080p,1200,1332.22,0.9,27.15,23.23,27.15,9.9,1,0,0.0,0
9,2026-06-21T16:45:22.018892+00:00,A,1080p,1200,1333.99,0.9,27.32,23.74,27.32,11.01,1,0,0.0,0
10,2026-06-21T16:45:22.919306+00:00,A,1080p,1200,1333.57,0.9,24.69,23.86,24.69,12.11,1,0,0.0,0
11,2026-06-21T16:45:23.815659+00:00,A,1080p,1200,1339.2,0.9,23.37,23.8,23.37,13.21,1,0,0.0,0
12,2026-06-21T16:45:24.743329+00:00,A,1080p,1200,1293.97,0.93,23.53,23.77,23.53,14.28,1,0,0.0,0
13,2026-06-21T16:45:25.696108+00:00,A,1080p,1200,1260.17,0.95,26.78,24.14,26.78,15.33,1,0,0.0,0
14,2026-06-21T16:45:26.614171+00:00,A,1080p,1200,1308.32,0.92,25.2,24.27,25.2,16.41,1,0,0.0,0
15,2026-06-21T16:45:27.526378+00:00,A,1080p,1200,1315.83,0.91,24.68,24.32,24.68,17.5,1,0,0.0,0
16,2026-06-21T16:45:28.436767+00:00,A,1080p,1200,1318.55,0.91,26.64,24.61,26.64,18.59,1,0,0.0,0
17,2026-06-21T16:45:29.395842+00:00,A,1080p,1200,1251.88,0.96,23.51,24.48,23.51,19.63,1,0,0.0,0
18,2026-06-21T16:45:30.314187+00:00,A,1080p,1200,1307.13,0.92,24.91,24.53,24.91,20.71,1,0,0.0,0
19,2026-06-21T16:45:31.220208+00:00,A,1080p,1200,1325.55,0.91,22.82,24.32,22.82,21.81,1,0,0.0,0
20,2026-06-21T16:45:32.124565+00:00,A,1080p,1200,1327.89,0.9,27.78,24.75,27.78,22.9,1,0,0.0,0
21,2026-06-21T16:45:33.026596+00:00,A,1080p,1200,1330.76,0.9,24.53,24.72,24.53,24.0,1,0,0.0,0
22,2026-06-21T16:45:33.929049+00:00,A,1080p,1200,1330.41,0.9,24.9,24.74,24.9,25.1,1,0,0.0,0
23,2026-06-21T16:45:34.828253+00:00,A,1080p,1200,1334.98,0.9,26.16,24.92,26.16,26.2,1,0,0.0,0
24,2026-06-21T16:45:35.735869+00:00,A,1080p,1200,1322.69,0.91,25.8,25.03,25.8,27.3,1,0,0.0,0
25,2026-06-21T16:45:36.639449+00:00,A,1080p,1200,1328.43,0.9,25.47,25.09,25.47,28.39,1,0,0.0,0
26,2026-06-21T16:45:37.537252+00:00,A,1080p,1200,1336.96,0.9,19.94,24.44,19.94,29.49,1,0,0.0,0
27,2026-06-21T16:45:38.434975+00:00,A,1080p,1200,1337.26,0.9,27.38,24.81,27.38,30.6,1,0,0.0,0
28,2026-06-21T16:45:39.935531+00:00,A,1080p,1200,1329.13,0.9,24.3,24.75,24.3,31.1,1,0,0.0,0
29,2026-06-21T16:45:41.934227+00:00,A,1080p,1200,1331.77,0.9,24.47,24.71,24.47,31.1,1,0,0.0,0
30,2026-06-21T16:45:43.931963+00:00,A,1080p,1200,1335.87,0.9,26.86,24.98,26.86,31.1,1,0,0.0,0
31,2026-06-21T16:45:45.936002+00:00,A,1080p,1200,1330.68,0.9,24.36,24.9,24.36,31.1,1,0,0.0,0
32,2026-06-21T16:45:47.935931+00:00,A,1080p,1200,1331.67,0.9,23.23,24.69,23.23,31.1,1,0,0.0,0
33,2026-06-21T16:45:49.940518+00:00,A,1080p,1200,1325.63,0.91,24.32,24.65,24.32,31.09,1,0,0.0,0
34,2026-06-21T16:45:54.614079+00:00,srv-B,1080p,1200,335.36,3.58,4.48,22.13,4.48,28.42,1,0,0.0,1
