segmento,timestamp,server_id,qualidade,bitrate_kbps,vazao_kbps,download_time_s,jitter_network_ms,jitter_ewma_ms,buffer_level_s,buffer_can_play,rebuffer_event,stall_duration_s,failover_total
1,2026-06-23T00:37:42.232810+00:00,A,240p,200,913.23,0.22,32.16,32.16,2.0,0,1,0.22,0
2,2026-06-23T00:37:42.929105+00:00,A,720p,900,1293.55,0.7,14.75,29.99,3.3,1,0,0.0,0
3,2026-06-23T00:37:43.896825+00:00,A,1080p,1200,1240.68,0.97,12.96,27.86,4.34,1,0,0.0,0
4,2026-06-23T00:37:44.887479+00:00,A,1080p,1200,1211.91,0.99,13.55,26.07,5.35,1,0,0.0,0
5,2026-06-23T00:37:45.867024+00:00,A,1080p,1200,1225.65,0.98,7.91,23.8,6.37,1,0,0.0,0
6,2026-06-23T00:37:46.874219+00:00,A,1080p,1200,1192.05,1.01,13.14,22.47,7.36,1,0,0.0,0
7,2026-06-23T00:37:47.608111+00:00,A,720p,900,1227.18,0.73,12.3,21.2,8.63,1,0,0.0,0
8,2026-06-23T00:37:48.559903+00:00,A,1080p,1200,1261.47,0.95,15.0,20.42,9.68,1,0,0.0,0
9,2026-06-23T00:37:49.571410+00:00,A,1080p,1200,1186.96,1.01,18.01,20.12,10.67,1,0,0.0,0
10,2026-06-23T00:37:50.317017+00:00,A,720p,900,1207.99,0.75,24.54,20.67,11.92,1,0,0.0,0
11,2026-06-23T00:37:51.282917+00:00,A,1080p,1200,1243.03,0.97,19.35,20.51,12.96,1,0,0.0,0
12,2026-06-23T00:37:52.271329+00:00,A,1080p,1200,1214.7,0.99,19.23,20.35,13.97,1,0,0.0,0
13,2026-06-23T00:37:53.277291+00:00,A,1080p,1200,1193.53,1.01,14.84,19.66,14.96,1,0,0.0,0
14,2026-06-23T00:37:54.024963+00:00,A,720p,900,1204.46,0.75,17.26,19.36,16.21,1,0,0.0,0
15,2026-06-23T00:37:54.989143+00:00,A,1080p,1200,1245.32,0.96,18.47,19.25,17.25,1,0,0.0,0
16,2026-06-23T00:37:55.970353+00:00,A,1080p,1200,1223.62,0.98,16.75,18.94,18.27,1,0,0.0,0
17,2026-06-23T00:37:56.971083+00:00,A,1080p,1200,1199.84,1.0,14.63,18.4,19.27,1,0,0.0,0
18,2026-06-23T00:37:57.745459+00:00,A,720p,900,1163.04,0.77,31.12,19.99,20.5,1,0,0.0,0
19,2026-06-23T00:37:58.513555+00:00,A,720p,900,1172.63,0.77,15.07,19.37,21.73,1,0,0.0,0
20,2026-06-23T00:37:59.238138+00:00,A,720p,900,1243.04,0.72,15.88,18.94,23.0,1,0,0.0,0
21,2026-06-23T00:38:00.244948+00:00,A,1080p,1200,1192.57,1.01,18.99,18.94,24.0,1,0,0.0,0
22,2026-06-23T00:38:01.047446+00:00,A,720p,900,1122.26,0.8,16.09,18.59,25.2,1,0,0.0,0
23,2026-06-23T00:38:01.833178+00:00,A,720p,900,1146.3,0.79,16.6,18.34,26.41,1,0,0.0,0
24,2026-06-23T00:38:02.562165+00:00,A,720p,900,1235.54,0.73,16.83,18.15,27.68,1,0,0.0,0
25,2026-06-23T00:38:03.557091+00:00,A,1080p,1200,1206.8,0.99,14.02,17.63,28.69,1,0,0.0,0
26,2026-06-23T00:38:04.563624+00:00,A,1080p,1200,1192.86,1.01,18.96,17.8,29.68,1,0,0.0,0
27,2026-06-23T00:38:10.778165+00:00,srv-B,1080p,1200,193.15,6.21,32.39,19.62,25.47,1,0,0.0,1
28,2026-06-23T00:38:11.099087+00:00,srv-B,240p,200,624.36,0.32,32.94,21.29,27.15,1,0,0.0,1
29,2026-06-23T00:38:12.271005+00:00,srv-B,720p,900,768.32,1.17,37.62,23.33,27.98,1,0,0.0,1
30,2026-06-23T00:38:13.864415+00:00,srv-B,1080p,1200,753.36,1.59,21.94,23.15,28.39,1,0,0.0,1
31,2026-06-23T00:38:15.479619+00:00,srv-B,1080p,1200,743.21,1.61,33.92,24.5,28.77,1,0,0.0,1
32,2026-06-23T00:38:17.079433+00:00,srv-B,1080p,1200,750.36,1.6,31.46,25.37,29.17,1,0,0.0,1
33,2026-06-23T00:38:18.652261+00:00,srv-B,1080p,1200,763.25,1.57,24.35,25.24,29.6,1,0,0.0,1
34,2026-06-23T00:38:20.259581+00:00,srv-B,1080p,1200,746.87,1.61,33.19,26.24,29.99,1,0,0.0,1
35,2026-06-23T00:38:21.877121+00:00,srv-B,1080p,1200,742.15,1.62,31.1,26.84,30.38,1,0,0.0,1
36,2026-06-23T00:38:23.881841+00:00,srv-B,1080p,1200,737.23,1.63,23.82,26.47,30.37,1,0,0.0,1
37,2026-06-23T00:38:25.857347+00:00,srv-B,1080p,1200,749.12,1.6,35.19,27.56,30.4,1,0,0.0,1
38,2026-06-23T00:38:29.351232+00:00,A,1080p,1200,387.79,3.09,16.51,26.18,28.91,1,0,0.0,2
39,2026-06-23T00:38:29.873381+00:00,A,480p,600,1150.07,0.52,22.11,25.67,30.38,1,0,0.0,2
40,2026-06-23T00:38:31.268955+00:00,A,1080p,1200,1187.86,1.01,17.22,24.61,30.99,1,0,0.0,2
41,2026-06-23T00:38:33.268736+00:00,A,1080p,1200,1190.47,1.01,15.02,23.41,30.99,1,0,0.0,2
42,2026-06-23T00:38:35.265603+00:00,A,1080p,1200,1196.48,1.0,18.32,22.78,31.0,1,0,0.0,2
43,2026-06-23T00:38:37.268107+00:00,A,1080p,1200,1195.86,1.0,19.16,22.32,31.0,1,0,0.0,2
44,2026-06-23T00:38:39.264849+00:00,A,1080p,1200,1202.11,1.0,16.58,21.61,31.0,1,0,0.0,2
45,2026-06-23T00:38:41.280082+00:00,A,1080p,1200,1186.36,1.01,17.51,21.09,30.99,1,0,0.0,2
46,2026-06-23T00:38:43.270526+00:00,A,1080p,1200,1200.01,1.0,14.46,20.27,31.0,1,0,0.0,2
47,2026-06-23T00:38:45.284665+00:00,A,1080p,1200,1185.44,1.01,23.47,20.67,30.99,1,0,0.0,2
48,2026-06-23T00:38:47.260196+00:00,A,1080p,1200,1217.04,0.99,20.23,20.61,31.01,1,0,0.0,2
49,2026-06-23T00:38:49.280019+00:00,A,1080p,1200,1195.22,1.0,14.43,19.84,31.0,1,0,0.0,2
50,2026-06-23T00:38:51.279751+00:00,A,1080p,1200,1197.89,1.0,19.4,19.78,31.0,1,0,0.0,2
51,2026-06-23T00:38:53.266949+00:00,A,1080p,1200,1215.86,0.99,12.3,18.85,31.01,1,0,0.0,2
52,2026-06-23T00:38:55.265975+00:00,A,1080p,1200,1219.22,0.98,14.49,18.3,31.02,1,0,0.0,2
53,2026-06-23T00:38:57.265514+00:00,A,1080p,1200,1222.22,0.98,18.97,18.39,31.02,1,0,0.0,2
54,2026-06-23T00:38:59.269063+00:00,A,1080p,1200,1220.31,0.98,14.14,17.86,31.02,1,0,0.0,2
55,2026-06-23T00:39:01.259572+00:00,A,1080p,1200,1234.69,0.97,26.9,18.99,31.03,1,0,0.0,2
56,2026-06-23T00:39:03.259940+00:00,A,1080p,1200,1236.82,0.97,19.61,19.07,31.03,1,0,0.0,2
57,2026-06-23T00:39:05.271674+00:00,A,1080p,1200,1224.58,0.98,24.17,19.7,31.02,1,0,0.0,2
58,2026-06-23T00:39:07.276818+00:00,A,1080p,1200,1220.63,0.98,17.61,19.44,31.02,1,0,0.0,2
59,2026-06-23T00:39:09.260682+00:00,A,1080p,1200,1243.54,0.96,12.75,18.61,31.04,1,0,0.0,2
60,2026-06-23T00:39:11.280804+00:00,A,1080p,1200,1220.85,0.98,17.02,18.41,31.02,1,0,0.0,2
