segmento,timestamp,server_id,qualidade,bitrate_kbps,vazao_kbps,download_time_s,jitter_network_ms,jitter_ewma_ms,buffer_level_s,buffer_can_play,rebuffer_event,stall_duration_s,failover_total
1,2026-06-23T12:38:25.555513+00:00,A,240p,200,978.21,0.2,11.8,11.8,2.0,0,1,0.2,0
2,2026-06-23T12:38:26.067823+00:00,A,480p,600,1171.86,0.51,26.96,13.7,3.49,1,0,0.0,0
3,2026-06-23T12:38:26.787256+00:00,A,720p,900,1251.8,0.72,26.77,15.33,4.77,1,0,0.0,0
4,2026-06-23T12:38:27.505482+00:00,A,720p,900,1253.69,0.72,19.94,15.91,6.05,1,0,0.0,0
5,2026-06-23T12:38:28.184067+00:00,A,720p,900,1326.88,0.68,20.77,16.51,7.37,1,0,0.0,0
6,2026-06-23T12:38:28.893189+00:00,A,720p,900,1269.91,0.71,28.51,18.01,8.66,1,0,0.0,0
7,2026-06-23T12:38:29.589818+00:00,A,720p,900,1292.71,0.7,23.45,18.69,9.97,1,0,0.0,0
8,2026-06-23T12:38:30.286766+00:00,A,720p,900,1292.25,0.7,23.8,19.33,11.27,1,0,0.0,0
9,2026-06-23T12:38:30.967499+00:00,A,720p,900,1322.97,0.68,21.45,19.6,12.59,1,0,0.0,0
10,2026-06-23T12:38:31.666642+00:00,A,720p,900,1288.03,0.7,26.08,20.41,13.89,1,0,0.0,0
11,2026-06-23T12:38:32.384751+00:00,A,720p,900,1254.03,0.72,20.23,20.39,15.17,1,0,0.0,0
12,2026-06-23T12:38:33.097722+00:00,A,720p,900,1263.11,0.71,27.37,21.26,16.46,1,0,0.0,0
13,2026-06-23T12:38:33.806397+00:00,A,720p,900,1270.76,0.71,33.65,22.81,17.75,1,0,0.0,0
14,2026-06-23T12:38:34.572959+00:00,A,720p,900,1174.72,0.77,36.54,24.52,18.99,1,0,0.0,0
15,2026-06-23T12:38:35.284591+00:00,A,720p,900,1265.32,0.71,24.07,24.47,20.28,1,0,0.0,0
16,2026-06-23T12:38:35.998044+00:00,A,720p,900,1262.01,0.71,36.52,25.97,21.56,1,0,0.0,0
17,2026-06-23T12:38:36.677058+00:00,A,720p,900,1326.4,0.68,27.8,26.2,22.88,1,0,0.0,0
18,2026-06-23T12:38:37.378957+00:00,A,720p,900,1283.19,0.7,22.64,25.76,24.18,1,0,0.0,0
19,2026-06-23T12:38:38.088606+00:00,A,720p,900,1268.98,0.71,25.65,25.74,25.47,1,0,0.0,0
20,2026-06-23T12:38:38.795426+00:00,A,720p,900,1274.12,0.71,26.81,25.88,26.77,1,0,0.0,0
21,2026-06-23T12:38:39.489483+00:00,A,720p,900,1297.54,0.69,23.31,25.56,28.07,1,0,0.0,0
22,2026-06-23T12:38:40.220062+00:00,A,720p,900,1232.6,0.73,26.1,25.62,29.34,1,0,0.0,0
23,2026-06-23T12:38:40.894801+00:00,A,720p,900,1334.68,0.67,24.81,25.52,30.67,1,0,0.0,0
24,2026-06-23T12:38:42.289609+00:00,A,720p,900,1243.59,0.72,9.35,23.5,31.28,1,0,0.0,0
25,2026-06-23T12:38:44.298768+00:00,A,720p,900,1230.99,0.73,18.7,22.9,31.27,1,0,0.0,0
26,2026-06-23T12:38:46.263751+00:00,A,720p,900,1296.8,0.69,26.28,23.32,31.31,1,0,0.0,0
27,2026-06-23T12:38:48.273560+00:00,A,720p,900,1282.18,0.7,27.37,23.83,31.3,1,0,0.0,0
28,2026-06-23T12:38:50.291843+00:00,A,720p,900,1252.7,0.72,23.7,23.81,31.28,1,0,0.0,0
29,2026-06-23T12:38:52.298959+00:00,A,720p,900,1243.66,0.72,22.69,23.67,31.28,1,0,0.0,0
30,2026-06-23T12:38:56.834039+00:00,srv-B,720p,900,276.33,3.26,8.76,21.81,28.74,1,0,0.0,1
31,2026-06-23T12:38:57.123768+00:00,srv-B,240p,200,691.35,0.29,13.68,20.79,30.45,1,0,0.0,1
32,2026-06-23T12:38:58.114521+00:00,srv-B,360p,400,746.23,0.54,14.59,20.02,31.46,1,0,0.0,1
33,2026-06-23T12:39:00.333784+00:00,srv-B,480p,600,796.54,0.75,14.65,19.35,31.25,1,0,0.0,1
34,2026-06-23T12:39:02.346071+00:00,srv-B,480p,600,785.66,0.76,14.1,18.69,31.24,1,0,0.0,1
35,2026-06-23T12:39:04.365355+00:00,srv-B,480p,600,768.09,0.78,24.82,19.46,31.22,1,0,0.0,1
36,2026-06-23T12:39:06.336493+00:00,srv-B,480p,600,799.44,0.75,9.72,18.24,31.25,1,0,0.0,1
37,2026-06-23T12:39:08.465780+00:00,srv-B,480p,600,683.37,0.88,29.9,19.7,31.12,1,0,0.0,1
38,2026-06-23T12:39:10.109232+00:00,srv-B,360p,400,769.0,0.52,20.71,19.82,31.48,1,0,0.0,1
39,2026-06-23T12:39:12.353378+00:00,srv-B,480p,600,787.09,0.76,25.11,20.48,31.24,1,0,0.0,1
40,2026-06-23T12:39:18.656670+00:00,A,480p,600,118.48,5.06,28.23,21.45,26.94,1,0,0.0,2
41,2026-06-23T12:39:18.854191+00:00,A,240p,200,1014.96,0.2,14.57,20.59,28.74,1,0,0.0,2
42,2026-06-23T12:39:19.346212+00:00,A,480p,600,1220.47,0.49,19.29,20.43,30.25,1,0,0.0,2
43,2026-06-23T12:39:20.283622+00:00,A,720p,900,1305.28,0.69,15.32,19.79,31.31,1,0,0.0,2
44,2026-06-23T12:39:23.273843+00:00,A,720p,900,536.43,1.68,20.83,19.92,30.32,1,0,0.0,2
45,2026-06-23T12:39:24.011641+00:00,A,360p,400,964.9,0.41,6.43,18.23,31.59,1,0,0.0,2
46,2026-06-23T12:39:26.057107+00:00,A,480p,600,1310.53,0.46,27.54,19.4,31.54,1,0,0.0,2
47,2026-06-23T12:39:28.373582+00:00,A,720p,900,1165.51,0.77,26.0,20.22,31.23,1,0,0.0,2
48,2026-06-23T12:39:30.385469+00:00,A,720p,900,1150.43,0.78,28.3,21.23,31.22,1,0,0.0,2
49,2026-06-23T12:39:32.293525+00:00,A,720p,900,1306.18,0.69,31.26,22.49,31.31,1,0,0.0,2
50,2026-06-23T12:39:34.378264+00:00,A,720p,900,1165.84,0.77,21.5,22.36,31.23,1,0,0.0,2
51,2026-06-23T12:39:36.282505+00:00,A,720p,900,1334.65,0.67,33.43,23.75,31.33,1,0,0.0,2
52,2026-06-23T12:39:38.343215+00:00,A,720p,900,1227.94,0.73,18.11,23.04,31.27,1,0,0.0,2
53,2026-06-23T12:39:40.372258+00:00,A,720p,900,1182.53,0.76,27.3,23.57,31.24,1,0,0.0,2
54,2026-06-23T12:39:42.360840+00:00,A,720p,900,1203.62,0.75,19.9,23.12,31.25,1,0,0.0,2
55,2026-06-23T12:39:44.314085+00:00,A,720p,900,1287.35,0.7,26.46,23.53,31.3,1,0,0.0,2
56,2026-06-23T12:39:46.388175+00:00,A,720p,900,1166.81,0.77,33.91,24.83,31.23,1,0,0.0,2
57,2026-06-23T12:39:48.300446+00:00,A,720p,900,1319.11,0.68,23.21,24.63,31.32,1,0,0.0,2
58,2026-06-23T12:39:50.353258+00:00,A,720p,900,1227.56,0.73,17.56,23.74,31.27,1,0,0.0,2
59,2026-06-23T12:39:52.356252+00:00,A,720p,900,1225.61,0.73,29.05,24.41,31.27,1,0,0.0,2
60,2026-06-23T12:39:54.297665+00:00,A,720p,900,1335.44,0.67,29.6,25.06,31.33,1,0,0.0,2
