segmento,timestamp,server_id,qualidade,bitrate_kbps,vazao_kbps,download_time_s,jitter_network_ms,jitter_ewma_ms,buffer_level_s,buffer_can_play,rebuffer_event,stall_duration_s,failover_total
1,2026-06-23T23:32:00.515849+00:00,A,240p,200,950.73,0.21,14.68,14.68,2.0,0,1,0.21,0
2,2026-06-23T23:32:01.223430+00:00,A,720p,900,1272.83,0.71,16.11,14.86,3.29,1,0,0.0,0
3,2026-06-23T23:32:02.198053+00:00,A,1080p,1200,1231.81,0.97,17.7,15.21,4.32,1,0,0.0,0
4,2026-06-23T23:32:02.946623+00:00,A,720p,900,1203.13,0.75,12.43,14.87,5.57,1,0,0.0,0
5,2026-06-23T23:32:03.675435+00:00,A,720p,900,1235.82,0.73,31.44,16.94,6.84,1,0,0.0,0
6,2026-06-23T23:32:04.426938+00:00,A,720p,900,1198.28,0.75,18.34,17.11,8.09,1,0,0.0,0
7,2026-06-23T23:32:05.338633+00:00,A,720p,900,987.75,0.91,31.77,18.95,9.18,1,0,0.0,0
8,2026-06-23T23:32:06.138708+00:00,A,720p,900,1125.63,0.8,17.64,18.78,10.38,1,0,0.0,0
9,2026-06-23T23:32:06.906110+00:00,A,720p,900,1173.61,0.77,21.54,19.13,11.61,1,0,0.0,0
10,2026-06-23T23:32:07.614907+00:00,A,720p,900,1270.61,0.71,14.85,18.59,12.91,1,0,0.0,0
11,2026-06-23T23:32:08.942091+00:00,A,1080p,1200,904.51,1.33,40.91,21.38,13.58,1,0,0.0,0
12,2026-06-23T23:32:09.660896+00:00,A,480p,600,835.37,0.72,45.44,24.39,14.86,1,0,0.0,0
13,2026-06-23T23:32:10.443354+00:00,A,480p,600,767.37,0.78,58.14,28.61,16.08,1,0,0.0,0
14,2026-06-23T23:32:11.034065+00:00,A,480p,600,1016.81,0.59,59.66,32.49,17.49,1,0,0.0,0
15,2026-06-23T23:32:11.784749+00:00,A,720p,900,1199.92,0.75,47.45,34.36,18.74,1,0,0.0,0
16,2026-06-23T23:32:12.549279+00:00,A,720p,900,1177.9,0.76,41.77,35.29,19.97,1,0,0.0,0
17,2026-06-23T23:32:13.470493+00:00,A,720p,900,977.57,0.92,49.74,37.09,21.05,1,0,0.0,0
18,2026-06-23T23:32:14.252801+00:00,A,720p,900,1151.05,0.78,45.4,38.13,22.27,1,0,0.0,0
19,2026-06-23T23:32:15.024258+00:00,A,720p,900,1167.33,0.77,41.89,38.6,23.5,1,0,0.0,0
20,2026-06-23T23:32:15.813467+00:00,A,720p,900,1141.28,0.79,17.17,35.92,24.71,1,0,0.0,0
