segmento,timestamp,server_id,qualidade,bitrate_kbps,vazao_kbps,download_time_s,jitter_network_ms,jitter_ewma_ms,jitter_ms,buffer_level_s,buffer_can_play,rebuffer_event,stall_duration_s,failover_total
1,2026-06-22T13:58:39.242177+00:00,A,240p,200,1183.9,0.17,19.52,19.52,19.52,2.0,0,1,0.17,0
2,2026-06-22T13:58:39.892408+00:00,A,720p,900,1385.62,0.65,25.7,20.29,25.7,3.35,1,0,0.0,0
3,2026-06-22T13:58:40.852378+00:00,A,1080p,1200,1251.32,0.96,25.34,20.92,25.34,4.39,1,0,0.0,0
4,2026-06-22T13:58:41.513969+00:00,A,720p,900,1362.14,0.66,26.62,21.63,26.62,5.73,1,0,0.0,0
5,2026-06-22T13:58:42.455784+00:00,A,1080p,1200,1275.3,0.94,23.88,21.91,23.88,6.79,1,0,0.0,0
6,2026-06-22T13:58:43.359837+00:00,A,1080p,1200,1328.68,0.9,25.58,22.37,25.58,7.89,1,0,0.0,0
7,2026-06-22T13:58:44.266319+00:00,A,1080p,1200,1325.0,0.91,24.58,22.65,24.58,8.98,1,0,0.0,0
8,2026-06-22T13:58:45.170027+00:00,A,1080p,1200,1328.9,0.9,27.07,23.2,27.07,10.08,1,0,0.0,0
9,2026-06-22T13:58:46.131096+00:00,A,1080p,1200,1249.84,0.96,27.73,23.77,27.73,11.12,1,0,0.0,0
10,2026-06-22T13:58:46.791326+00:00,A,720p,900,1365.98,0.66,26.57,24.12,26.57,12.46,1,0,0.0,0
11,2026-06-22T13:58:47.745692+00:00,A,1080p,1200,1258.02,0.95,26.49,24.41,26.49,13.51,1,0,0.0,0
12,2026-06-22T13:58:48.404718+00:00,A,720p,900,1367.06,0.66,24.51,24.43,24.51,14.85,1,0,0.0,0
13,2026-06-22T13:58:49.349619+00:00,A,1080p,1200,1270.57,0.94,25.36,24.54,25.36,15.9,1,0,0.0,0
14,2026-06-22T13:58:50.260401+00:00,A,1080p,1200,1318.82,0.91,26.13,24.74,26.13,16.99,1,0,0.0,0
15,2026-06-22T13:58:51.415340+00:00,A,1080p,1200,1039.37,1.15,44.35,27.19,44.35,17.84,1,0,0.0,0
16,2026-06-22T13:58:55.056996+00:00,A,720p,900,247.16,3.64,140.0,41.29,140.0,16.2,1,0,0.0,0
17,2026-06-22T13:58:55.630891+00:00,A,240p,200,349.07,0.57,58.35,43.43,58.35,17.62,1,0,0.0,0
18,2026-06-22T13:58:56.107394+00:00,A,240p,200,420.47,0.48,147.27,56.41,147.27,19.15,1,0,0.0,0
19,2026-06-22T13:58:56.746782+00:00,A,240p,200,313.21,0.64,75.17,58.75,75.17,20.51,1,0,0.0,0
20,2026-06-22T13:58:57.540285+00:00,A,240p,200,252.26,0.79,81.81,61.63,81.81,21.72,1,0,0.0,0
21,2026-06-22T13:58:58.221018+00:00,A,240p,200,294.21,0.68,121.3,69.09,121.3,23.04,1,0,0.0,0
22,2026-06-22T13:58:58.754805+00:00,A,240p,200,374.84,0.53,124.95,76.08,124.95,24.5,1,0,0.0,0
23,2026-06-22T13:58:59.600739+00:00,A,240p,200,236.53,0.85,189.31,90.23,189.31,25.66,1,0,0.0,0
24,2026-06-22T13:59:00.227599+00:00,A,240p,200,319.68,0.63,189.11,102.59,189.11,27.03,1,0,0.0,0
25,2026-06-22T13:59:00.739520+00:00,A,240p,200,391.33,0.51,127.51,105.7,127.51,28.52,1,0,0.0,0
26,2026-06-22T13:59:01.328223+00:00,A,240p,200,340.01,0.59,168.99,113.62,168.99,29.93,1,0,0.0,0
27,2026-06-22T13:59:01.985852+00:00,A,240p,200,304.55,0.66,100.07,111.92,100.07,31.28,1,0,0.0,0
28,2026-06-22T13:59:04.682417+00:00,A,240p,200,140.92,1.42,231.92,126.92,231.92,30.58,1,0,0.0,0
29,2026-06-22T13:59:05.765504+00:00,A,240p,200,399.01,0.5,68.62,119.63,68.62,31.5,1,0,0.0,0
30,2026-06-22T13:59:08.276283+00:00,A,240p,200,197.83,1.01,288.42,140.73,288.42,30.99,1,0,0.0,0
31,2026-06-22T13:59:10.013117+00:00,A,240p,200,267.68,0.75,157.04,142.77,157.04,31.25,1,0,0.0,0
32,2026-06-22T13:59:11.898999+00:00,A,240p,200,316.74,0.63,122.15,140.19,122.15,31.37,1,0,0.0,0
33,2026-06-22T13:59:14.213708+00:00,A,240p,200,211.68,0.94,112.14,136.69,112.14,31.06,1,0,0.0,0
34,2026-06-22T13:59:16.070344+00:00,A,240p,200,249.82,0.8,107.41,133.03,107.41,31.2,1,0,0.0,0
35,2026-06-22T13:59:18.011920+00:00,A,240p,200,269.94,0.74,148.24,134.93,148.24,31.26,1,0,0.0,0
36,2026-06-22T13:59:19.970216+00:00,A,240p,200,286.28,0.7,46.58,123.88,46.58,31.3,1,0,0.0,0
37,2026-06-22T13:59:22.040963+00:00,A,240p,200,260.17,0.77,87.63,119.35,87.63,31.23,1,0,0.0,0
38,2026-06-22T13:59:24.094562+00:00,A,240p,200,243.6,0.82,94.96,116.3,94.96,31.18,1,0,0.0,0
39,2026-06-22T13:59:26.599644+00:00,A,240p,200,150.96,1.32,477.37,161.44,477.37,30.68,1,0,0.0,0
40,2026-06-22T13:59:27.731090+00:00,A,240p,200,439.08,0.46,58.27,148.54,58.27,31.54,1,0,0.0,0
41,2026-06-22T13:59:30.016132+00:00,A,240p,200,270.51,0.74,155.93,149.47,155.93,31.26,1,0,0.0,0
42,2026-06-22T13:59:31.455177+00:00,A,240p,200,1124.62,0.18,20.67,133.37,20.67,31.82,1,0,0.0,0
43,2026-06-22T13:59:33.748654+00:00,A,480p,600,1276.9,0.47,26.97,120.07,26.97,31.53,1,0,0.0,0
44,2026-06-22T13:59:35.978184+00:00,A,720p,900,1289.81,0.7,27.66,108.52,27.66,31.3,1,0,0.0,0
45,2026-06-22T13:59:38.007526+00:00,A,720p,900,1240.11,0.73,25.02,98.08,25.02,31.27,1,0,0.0,0
46,2026-06-22T13:59:39.983659+00:00,A,720p,900,1284.89,0.7,25.73,89.03,25.73,31.3,1,0,0.0,0
47,2026-06-22T13:59:41.977500+00:00,A,720p,900,1298.57,0.69,24.31,80.94,24.31,31.31,1,0,0.0,0
48,2026-06-22T13:59:43.979662+00:00,A,720p,900,1295.73,0.69,26.64,74.16,26.64,31.31,1,0,0.0,0
49,2026-06-22T13:59:45.994319+00:00,A,720p,900,1271.28,0.71,26.94,68.25,26.94,31.29,1,0,0.0,0
50,2026-06-22T13:59:47.976613+00:00,A,720p,900,1306.1,0.69,27.6,63.17,27.6,31.31,1,0,0.0,0
51,2026-06-22T13:59:49.984015+00:00,A,720p,900,1294.6,0.7,25.74,58.49,25.74,31.3,1,0,0.0,0
52,2026-06-22T13:59:51.992288+00:00,A,720p,900,1281.38,0.7,27.28,54.59,27.28,31.3,1,0,0.0,0
53,2026-06-22T13:59:53.991780+00:00,A,720p,900,1284.15,0.7,24.91,50.88,24.91,31.3,1,0,0.0,0
54,2026-06-22T13:59:55.987093+00:00,A,720p,900,1295.36,0.69,27.51,47.96,27.51,31.31,1,0,0.0,0
55,2026-06-22T13:59:57.995885+00:00,A,720p,900,1282.01,0.7,26.27,45.25,26.27,31.3,1,0,0.0,0
56,2026-06-22T13:59:59.992067+00:00,A,720p,900,1291.97,0.7,25.59,42.79,25.59,31.3,1,0,0.0,0
57,2026-06-22T14:00:01.993887+00:00,A,720p,900,1290.55,0.7,25.52,40.63,25.52,31.3,1,0,0.0,0
