segmento,timestamp,server_id,qualidade,bitrate_kbps,vazao_kbps,download_time_s,jitter_network_ms,jitter_ewma_ms,jitter_ms,buffer_level_s,buffer_can_play,rebuffer_event,stall_duration_s,failover_total
1,2026-06-22T20:06:00.905190+00:00,A,240p,200,1175.02,0.17,20.6,20.6,20.6,2.0,0,1,0.17,0
2,2026-06-22T20:06:01.574101+00:00,A,720p,900,1347.21,0.67,27.16,21.42,27.16,3.33,1,0,0.0,0
3,2026-06-22T20:06:02.523980+00:00,A,1080p,1200,1263.78,0.95,24.78,21.84,24.78,4.38,1,0,0.0,0
4,2026-06-22T20:06:03.433913+00:00,A,1080p,1200,1320.59,0.91,24.71,22.2,24.71,5.47,1,0,0.0,0
5,2026-06-22T20:06:04.341558+00:00,A,1080p,1200,1323.37,0.91,23.76,22.39,23.76,6.57,1,0,0.0,0
6,2026-06-22T20:06:05.245652+00:00,A,1080p,1200,1328.82,0.9,24.78,22.69,24.78,7.66,1,0,0.0,0
7,2026-06-22T20:06:06.138744+00:00,A,1080p,1200,1344.3,0.89,26.67,23.19,26.67,8.77,1,0,0.0,0
8,2026-06-22T20:06:07.035344+00:00,A,1080p,1200,1339.03,0.9,26.31,23.58,26.31,9.88,1,0,0.0,0
9,2026-06-22T20:06:07.931523+00:00,A,1080p,1200,1339.57,0.9,25.87,23.87,25.87,10.98,1,0,0.0,0
10,2026-06-22T20:06:08.833957+00:00,A,1080p,1200,1330.63,0.9,25.37,24.05,25.37,12.08,1,0,0.0,0
11,2026-06-22T20:06:09.732781+00:00,A,1080p,1200,1336.31,0.9,26.87,24.41,26.87,13.18,1,0,0.0,0
12,2026-06-22T20:06:10.624294+00:00,A,1080p,1200,1346.74,0.89,26.29,24.64,26.29,14.29,1,0,0.0,0
13,2026-06-22T20:06:11.534174+00:00,A,1080p,1200,1319.35,0.91,25.06,24.69,25.06,15.38,1,0,0.0,0
14,2026-06-22T20:06:12.438899+00:00,A,1080p,1200,1327.6,0.9,24.33,24.65,24.33,16.47,1,0,0.0,0
15,2026-06-22T20:06:13.340986+00:00,A,1080p,1200,1330.74,0.9,26.87,24.93,26.87,17.57,1,0,0.0,0
16,2026-06-22T20:06:14.266084+00:00,A,1080p,1200,1297.74,0.92,25.86,25.04,25.86,18.65,1,0,0.0,0
17,2026-06-22T20:06:15.216643+00:00,A,1080p,1200,1263.29,0.95,26.88,25.27,26.88,19.7,1,0,0.0,0
18,2026-06-22T20:06:15.882002+00:00,A,720p,900,1354.57,0.66,26.29,25.4,26.29,21.03,1,0,0.0,0
19,2026-06-22T20:06:16.843594+00:00,A,1080p,1200,1249.26,0.96,24.1,25.24,24.1,22.07,1,0,0.0,0
20,2026-06-22T20:06:17.485039+00:00,A,720p,900,1403.8,0.64,26.52,25.4,26.52,23.43,1,0,0.0,0
21,2026-06-22T20:06:18.425680+00:00,A,1080p,1200,1276.2,0.94,26.8,25.57,26.8,24.49,1,0,0.0,0
22,2026-06-22T20:06:19.326298+00:00,A,1080p,1200,1333.95,0.9,26.86,25.74,26.86,25.59,1,0,0.0,0
23,2026-06-22T20:06:20.230045+00:00,A,1080p,1200,1329.09,0.9,26.7,25.86,26.7,26.69,1,0,0.0,0
24,2026-06-22T20:06:21.134392+00:00,A,1080p,1200,1328.04,0.9,24.73,25.72,24.73,27.79,1,0,0.0,0
25,2026-06-22T20:06:22.039026+00:00,A,1080p,1200,1326.9,0.9,26.11,25.76,26.11,28.88,1,0,0.0,0
26,2026-06-22T20:06:22.946025+00:00,A,1080p,1200,1323.79,0.91,27.29,25.96,27.29,29.98,1,0,0.0,0
27,2026-06-22T20:06:23.851004+00:00,A,1080p,1200,1327.19,0.9,27.64,26.17,27.64,31.07,1,0,0.0,0
