segmento,timestamp,server_id,qualidade,bitrate_kbps,vazao_kbps,download_time_s,jitter_network_ms,jitter_ewma_ms,jitter_ms,buffer_level_s,buffer_can_play,rebuffer_event,stall_duration_s,failover_total
1,2026-06-01T13:14:12.850884+00:00,A,240p,200,1037.73,0.19,0.0,0.0,0.0,2.0,0,1,0.19,0
2,2026-06-01T13:14:13.419768+00:00,A,480p,700,1231.55,0.57,147.71,147.71,147.71,3.43,1,0,0.0,0
3,2026-06-01T13:14:13.977642+00:00,A,480p,700,1255.46,0.56,38.52,38.52,38.52,4.87,1,0,0.0,0
4,2026-06-01T13:14:14.539389+00:00,A,480p,700,1247.19,0.56,12.59,12.59,12.59,6.31,1,0,0.0,0
5,2026-06-01T13:14:15.110672+00:00,A,480p,700,1226.35,0.57,19.95,19.95,19.95,7.74,1,0,0.0,0
6,2026-06-01T13:14:15.718655+00:00,A,480p,700,1152.27,0.61,87.25,87.25,87.25,9.13,1,0,0.0,0
7,2026-06-01T13:14:16.342244+00:00,A,480p,700,1123.38,0.62,18.11,18.11,18.11,10.51,1,0,0.0,0
8,2026-06-01T13:14:16.855177+00:00,A,480p,700,1365.83,0.51,120.98,120.98,120.98,12.0,1,0,0.0,0
9,2026-06-01T13:14:17.415160+00:00,A,480p,700,1250.92,0.56,44.08,44.08,44.08,13.44,1,0,0.0,0
10,2026-06-01T13:14:17.975427+00:00,A,480p,700,1250.47,0.56,9.92,9.92,9.92,14.88,1,0,0.0,0
11,2026-06-01T13:14:18.551895+00:00,A,480p,700,1215.27,0.58,16.33,16.33,16.33,16.3,1,0,0.0,0
12,2026-06-01T13:14:19.118942+00:00,A,480p,700,1235.53,0.57,2.52,2.52,2.52,17.74,1,0,0.0,0
13,2026-06-01T13:14:19.910177+00:00,A,480p,700,885.3,0.79,22.83,22.83,22.83,18.95,1,0,0.0,0
14,2026-06-01T13:14:20.755654+00:00,A,480p,700,828.42,0.84,54.25,54.25,54.25,20.1,1,0,0.0,0
15,2026-06-01T13:14:21.205311+00:00,A,360p,400,890.46,0.45,132.9,132.9,132.9,21.65,1,0,0.0,0
16,2026-06-01T13:14:22.054263+00:00,A,480p,700,824.98,0.85,136.95,136.95,136.95,22.8,1,0,0.0,0
17,2026-06-01T13:14:22.537380+00:00,A,360p,400,828.8,0.48,102.89,102.89,102.89,24.32,1,0,0.0,0
18,2026-06-01T13:14:23.002445+00:00,A,360p,400,861.03,0.46,18.92,18.92,18.92,25.86,1,0,0.0,0
19,2026-06-01T13:14:23.804448+00:00,A,480p,700,873.3,0.8,72.27,72.27,72.27,27.05,1,0,0.0,0
20,2026-06-01T13:14:24.670604+00:00,A,480p,700,808.52,0.87,67.27,67.27,67.27,28.19,1,0,0.0,0
21,2026-06-01T13:14:25.201027+00:00,A,360p,400,754.92,0.53,73.94,73.94,73.94,29.66,1,0,0.0,0
22,2026-06-01T13:14:26.012148+00:00,A,360p,400,493.45,0.81,119.06,119.06,119.06,30.85,1,0,0.0,0
23,2026-06-01T13:14:26.705526+00:00,A,360p,400,577.19,0.69,117.24,117.24,117.24,32.16,1,0,0.0,0
24,2026-06-01T13:14:27.367777+00:00,A,360p,400,604.4,0.66,32.25,32.25,32.25,33.49,1,0,0.0,0
25,2026-06-01T13:14:28.154050+00:00,A,360p,400,509.05,0.79,124.6,124.6,124.6,34.71,1,0,0.0,0
26,2026-06-01T13:14:28.927629+00:00,A,360p,400,517.36,0.77,12.49,12.49,12.49,35.93,1,0,0.0,0
27,2026-06-01T13:14:29.644155+00:00,A,360p,400,558.69,0.72,57.49,57.49,57.49,37.22,1,0,0.0,0
28,2026-06-01T13:14:30.377721+00:00,A,360p,400,545.64,0.73,17.04,17.04,17.04,38.49,1,0,0.0,0
29,2026-06-01T13:14:31.118387+00:00,A,360p,400,540.38,0.74,7.18,7.18,7.18,39.75,1,0,0.0,0
30,2026-06-01T13:14:32.369477+00:00,A,360p,400,319.84,1.25,11.13,11.13,11.13,40.49,1,0,0.0,0
31,2026-06-01T13:14:32.933169+00:00,A,240p,200,355.13,0.56,174.5,174.5,174.5,41.93,1,0,0.0,0
32,2026-06-01T13:14:33.472604+00:00,A,240p,200,371.11,0.54,1.68,1.68,1.68,43.39,1,0,0.0,0
33,2026-06-01T13:14:34.015283+00:00,A,240p,200,368.87,0.54,3.33,3.33,3.33,44.85,1,0,0.0,0
34,2026-06-01T13:14:34.600570+00:00,A,240p,200,341.99,0.58,42.56,42.56,42.56,46.27,1,0,0.0,0
35,2026-06-01T13:14:35.185762+00:00,A,240p,200,342.04,0.58,1.3,1.3,1.3,47.68,1,0,0.0,0
36,2026-06-01T13:14:35.726520+00:00,A,240p,200,370.19,0.54,45.71,45.71,45.71,49.14,1,0,0.0,0
37,2026-06-01T13:14:36.268023+00:00,A,240p,200,369.65,0.54,0.83,0.83,0.83,50.6,1,0,0.0,0
38,2026-06-01T13:14:36.836792+00:00,A,240p,200,351.95,0.57,27.0,27.0,27.0,52.03,1,0,0.0,0
39,2026-06-01T13:14:37.347353+00:00,A,240p,200,392.15,0.51,15.9,15.9,15.9,53.52,1,0,0.0,0
40,2026-06-01T13:14:39.462007+00:00,A,240p,200,94.6,2.11,3.62,3.62,3.62,53.41,1,0,0.0,0
41,2026-06-01T13:14:41.616588+00:00,A,240p,200,92.85,2.15,1.02,1.02,1.02,53.25,1,0,0.0,0
42,2026-06-01T13:14:43.787439+00:00,A,240p,200,92.15,2.17,1.31,1.31,1.31,53.08,1,0,0.0,0
43,2026-06-01T13:14:45.963856+00:00,A,240p,200,91.92,2.18,11.89,11.89,11.89,52.91,1,0,0.0,0
44,2026-06-01T13:14:48.117954+00:00,A,240p,200,92.87,2.15,3.14,3.14,3.14,52.75,1,0,0.0,0
45,2026-06-01T13:14:50.261625+00:00,A,240p,200,93.32,2.14,3.89,3.89,3.89,52.61,1,0,0.0,0
46,2026-06-01T13:14:52.415745+00:00,A,240p,200,92.87,2.15,20.85,20.85,20.85,52.46,1,0,0.0,0
47,2026-06-01T13:14:52.604051+00:00,A,240p,200,1065.02,0.19,24.15,24.15,24.15,54.27,1,0,0.0,0
48,2026-06-01T13:14:53.175384+00:00,A,480p,700,1226.36,0.57,124.67,124.67,124.67,55.7,1,0,0.0,0
49,2026-06-01T13:14:53.755834+00:00,A,480p,700,1206.73,0.58,11.97,11.97,11.97,57.12,1,0,0.0,0
50,2026-06-01T13:14:54.409035+00:00,A,480p,700,1072.24,0.65,12.87,12.87,12.87,58.47,1,0,0.0,0
51,2026-06-01T13:14:55.260970+00:00,A,480p,700,822.16,0.85,272.41,272.41,272.41,59.61,1,0,0.0,0
52,2026-06-01T13:14:55.577429+00:00,A,360p,400,1266.13,0.32,367.58,367.58,367.58,61.3,1,0,0.0,0
53,2026-06-01T13:14:56.147644+00:00,A,480p,700,1228.68,0.57,95.94,95.94,95.94,62.73,1,0,0.0,0
54,2026-06-01T13:14:56.727258+00:00,A,480p,700,1208.72,0.58,4.51,4.51,4.51,64.15,1,0,0.0,0
55,2026-06-01T13:14:57.267995+00:00,A,480p,700,1295.7,0.54,33.04,33.04,33.04,65.61,1,0,0.0,0
56,2026-06-01T13:14:57.830883+00:00,A,480p,700,1244.69,0.56,22.06,22.06,22.06,67.05,1,0,0.0,0
57,2026-06-01T13:14:58.369050+00:00,A,480p,700,1301.91,0.54,24.47,24.47,24.47,68.51,1,0,0.0,0
58,2026-06-01T13:14:58.932001+00:00,A,480p,700,1244.58,0.56,25.46,25.46,25.46,69.95,1,0,0.0,0
59,2026-06-01T13:14:59.531141+00:00,A,480p,700,1169.46,0.6,26.43,26.43,26.43,71.35,1,0,0.0,0
60,2026-06-01T13:15:00.119569+00:00,A,480p,700,1190.54,0.59,1.4,1.4,1.4,72.76,1,0,0.0,0
