segmento,timestamp,server_id,qualidade,bitrate_kbps,vazao_kbps,download_time_s,jitter_network_ms,jitter_ewma_ms,jitter_ms,buffer_level_s,buffer_can_play,rebuffer_event,stall_duration_s,failover_total
1,2026-06-01T14:30:47.829142+00:00,A,240p,200,1062.95,0.19,0.0,0.0,0.0,2.0,0,1,0.19,0
2,2026-06-01T14:30:48.383968+00:00,A,480p,700,1262.58,0.55,133.21,133.21,133.21,3.45,1,0,0.0,0
3,2026-06-01T14:30:48.987360+00:00,A,480p,700,1161.0,0.6,9.32,9.32,9.32,4.84,1,0,0.0,0
4,2026-06-01T14:30:49.588848+00:00,A,480p,700,1164.64,0.6,54.56,54.56,54.56,6.24,1,0,0.0,0
5,2026-06-01T14:30:49.773910+00:00,A,240p,200,1083.69,0.18,180.24,180.24,180.24,8.06,1,0,0.0,0
6,2026-06-01T14:30:49.962944+00:00,A,240p,200,1060.9,0.19,5.63,5.63,5.63,9.87,1,0,0.0,0
7,2026-06-01T14:30:50.148773+00:00,A,240p,200,1079.33,0.19,3.58,3.58,3.58,11.68,1,0,0.0,0
8,2026-06-01T14:30:50.333150+00:00,A,240p,200,1088.18,0.18,2.86,2.86,2.86,13.5,1,0,0.0,0
9,2026-06-01T14:30:50.526896+00:00,A,240p,200,1035.01,0.19,5.94,5.94,5.94,15.31,1,0,0.0,0
10,2026-06-01T14:30:50.853532+00:00,A,360p,400,1226.88,0.33,38.52,38.52,38.52,16.98,1,0,0.0,0
11,2026-06-01T14:30:51.191655+00:00,A,360p,400,1184.78,0.34,1.41,1.41,1.41,18.64,1,0,0.0,0
12,2026-06-01T14:30:51.548949+00:00,A,360p,400,1121.1,0.36,33.85,33.85,33.85,20.29,1,0,0.0,0
13,2026-06-01T14:30:52.097040+00:00,A,480p,700,1278.45,0.55,41.82,41.82,41.82,21.74,1,0,0.0,0
14,2026-06-01T14:30:52.639560+00:00,A,480p,700,1291.62,0.54,5.74,5.74,5.74,23.2,1,0,0.0,0
15,2026-06-01T14:30:53.219958+00:00,A,480p,700,1206.86,0.58,18.32,18.32,18.32,24.62,1,0,0.0,0
16,2026-06-01T14:30:53.784821+00:00,A,480p,700,1240.15,0.56,33.51,33.51,33.51,26.05,1,0,0.0,0
17,2026-06-01T14:30:55.486826+00:00,A,720p,1500,881.58,1.7,295.78,295.78,295.78,26.35,1,0,0.0,0
18,2026-06-01T14:30:57.244857+00:00,A,720p,1500,853.45,1.76,8.46,8.46,8.46,26.59,1,0,0.0,0
19,2026-06-01T14:30:58.948366+00:00,A,720p,1500,880.8,1.7,54.58,54.58,54.58,26.89,1,0,0.0,0
20,2026-06-01T14:31:00.778607+00:00,A,720p,1500,819.75,1.83,10.27,10.27,10.27,27.06,1,0,0.0,0
21,2026-06-01T14:31:03.139061+00:00,A,720p,1500,635.58,2.36,3.94,3.94,3.94,26.7,1,0,0.0,0
22,2026-06-01T14:31:05.501837+00:00,A,720p,1500,635.0,2.36,1.85,1.85,1.85,26.34,1,0,0.0,0
23,2026-06-01T14:31:09.320069+00:00,A,720p,1500,392.9,3.82,26.62,26.62,26.62,24.52,1,0,0.0,0
24,2026-06-01T14:31:12.394570+00:00,A,480p,700,227.72,3.07,233.14,233.14,233.14,23.45,1,0,0.0,0
25,2026-06-01T14:31:19.802524+00:00,A,480p,700,94.5,7.41,18.82,18.82,18.82,18.04,1,0,0.0,0
26,2026-06-01T14:31:24.069701+00:00,A,360p,400,93.75,4.27,53.6,53.6,53.6,15.77,1,0,0.0,0
27,2026-06-01T14:31:27.493500+00:00,A,360p,400,116.84,3.42,40.94,40.94,40.94,14.35,1,0,0.0,0
28,2026-06-01T14:31:27.717941+00:00,A,240p,200,893.07,0.22,22.36,22.36,22.36,16.12,1,0,0.0,0
29,2026-06-01T14:31:28.236773+00:00,A,360p,400,771.77,0.52,188.51,188.51,188.51,17.61,1,0,0.0,0
30,2026-06-01T14:31:28.615067+00:00,A,360p,400,1058.86,0.38,147.9,147.9,147.9,19.23,1,0,0.0,0
31,2026-06-01T14:31:29.012953+00:00,A,360p,400,1006.66,0.4,13.76,13.76,13.76,20.83,1,0,0.0,0
32,2026-06-01T14:31:29.680531+00:00,A,480p,700,1049.35,0.67,145.01,145.01,145.01,22.16,1,0,0.0,0
33,2026-06-01T14:31:30.316636+00:00,A,480p,700,1101.3,0.64,100.94,100.94,100.94,23.53,1,0,0.0,0
34,2026-06-01T14:31:31.009926+00:00,A,480p,700,1010.33,0.69,78.71,78.71,78.71,24.84,1,0,0.0,0
35,2026-06-01T14:31:31.682654+00:00,A,480p,700,1041.21,0.67,44.1,44.1,44.1,26.16,1,0,0.0,0
36,2026-06-01T14:31:32.942764+00:00,A,720p,1500,1190.84,1.26,238.49,238.49,238.49,26.9,1,0,0.0,0
37,2026-06-01T14:31:34.140406+00:00,A,720p,1500,1252.93,1.2,55.6,55.6,55.6,27.71,1,0,0.0,0
38,2026-06-01T14:31:35.375961+00:00,A,720p,1500,1214.49,1.24,21.74,21.74,21.74,28.47,1,0,0.0,0
39,2026-06-01T14:31:36.575338+00:00,A,720p,1500,1251.17,1.2,19.92,19.92,19.92,29.27,1,0,0.0,0
40,2026-06-01T14:31:37.713996+00:00,A,720p,1500,1317.82,1.14,10.66,10.66,10.66,30.13,1,0,0.0,0
41,2026-06-01T14:31:40.160748+00:00,A,1080p,3000,1226.31,2.45,529.04,529.04,529.04,29.69,1,0,0.0,0
42,2026-06-01T14:31:41.329685+00:00,A,720p,1500,1283.78,1.17,451.77,451.77,451.77,30.52,1,0,0.0,0
43,2026-06-01T14:31:43.664298+00:00,A,1080p,3000,1285.35,2.33,359.98,359.98,359.98,30.19,1,0,0.0,0
44,2026-06-01T14:31:46.052610+00:00,A,1080p,3000,1256.38,2.39,42.51,42.51,42.51,29.8,1,0,0.0,0
45,2026-06-01T14:31:47.219357+00:00,A,720p,1500,1286.21,1.17,477.31,477.31,477.31,30.63,1,0,0.0,0
46,2026-06-01T14:31:49.577718+00:00,A,1080p,3000,1272.35,2.36,451.89,451.89,451.89,30.27,1,0,0.0,0
47,2026-06-01T14:31:51.978876+00:00,A,1080p,3000,1249.67,2.4,23.52,23.52,23.52,29.87,1,0,0.0,0
