segmento,timestamp,server_id,qualidade,bitrate_kbps,vazao_kbps,download_time_s,jitter_network_ms,jitter_ewma_ms,jitter_ms,buffer_level_s,buffer_can_play,rebuffer_event,stall_duration_s,failover_total
1,2026-06-01T13:53:31.822713+00:00,A,240p,200,1050.71,0.19,0.0,0.0,0.0,2.0,0,1,0.19,0
2,2026-06-01T13:53:32.010789+00:00,A,240p,200,1066.1,0.19,23.91,23.91,23.91,3.81,1,0,0.0,0
3,2026-06-01T13:53:32.201788+00:00,A,240p,200,1050.2,0.19,4.73,4.73,4.73,5.62,1,0,0.0,0
4,2026-06-01T13:53:32.384420+00:00,A,240p,200,1098.32,0.18,7.75,7.75,7.75,7.44,1,0,0.0,0
5,2026-06-01T13:53:32.568715+00:00,A,240p,200,1088.16,0.18,0.58,0.58,0.58,9.26,1,0,0.0,0
6,2026-06-01T13:53:32.756503+00:00,A,240p,200,1067.95,0.19,1.82,1.82,1.82,11.07,1,0,0.0,0
7,2026-06-01T13:53:32.948802+00:00,A,240p,200,1042.59,0.19,6.7,6.7,6.7,12.88,1,0,0.0,0
8,2026-06-01T13:53:33.132387+00:00,A,240p,200,1092.51,0.18,11.42,11.42,11.42,14.69,1,0,0.0,0
9,2026-06-01T13:53:33.320722+00:00,A,240p,200,1064.05,0.19,4.89,4.89,4.89,16.51,1,0,0.0,0
10,2026-06-01T13:53:33.695349+00:00,A,360p,400,1069.04,0.37,109.55,109.55,109.55,18.13,1,0,0.0,0
11,2026-06-01T13:53:34.011972+00:00,A,360p,400,1265.18,0.32,78.99,78.99,78.99,19.82,1,0,0.0,0
12,2026-06-01T13:53:34.328337+00:00,A,360p,400,1266.5,0.32,1.18,1.18,1.18,21.5,1,0,0.0,0
13,2026-06-01T13:53:34.889930+00:00,A,480p,700,1247.54,0.56,89.03,89.03,89.03,22.94,1,0,0.0,0
14,2026-06-01T13:53:35.441527+00:00,A,480p,700,1270.26,0.55,0.62,0.62,0.62,24.39,1,0,0.0,0
15,2026-06-01T13:53:35.987780+00:00,A,480p,700,1282.59,0.55,16.78,16.78,16.78,25.84,1,0,0.0,0
16,2026-06-01T13:53:37.152241+00:00,A,720p,1500,1288.78,1.16,226.07,226.07,226.07,26.68,1,0,0.0,0
17,2026-06-01T13:53:38.571061+00:00,A,720p,1500,1057.59,1.42,24.56,24.56,24.56,27.26,1,0,0.0,0
18,2026-06-01T13:53:40.279942+00:00,A,720p,1500,878.04,1.71,20.43,20.43,20.43,27.55,1,0,0.0,0
19,2026-06-01T13:53:41.985244+00:00,A,720p,1500,879.86,1.7,3.21,3.21,3.21,27.85,1,0,0.0,0
20,2026-06-01T13:53:43.708502+00:00,A,720p,1500,870.7,1.72,17.57,17.57,17.57,28.12,1,0,0.0,0
21,2026-06-01T13:53:46.077055+00:00,A,720p,1500,633.43,2.37,5.91,5.91,5.91,27.76,1,0,0.0,0
22,2026-06-01T13:53:48.442460+00:00,A,720p,1500,634.29,2.36,5.72,5.72,5.72,27.39,1,0,0.0,0
23,2026-06-01T13:53:51.549482+00:00,A,720p,1500,482.85,3.11,18.83,18.83,18.83,26.28,1,0,0.0,0
24,2026-06-01T13:53:56.671471+00:00,A,720p,1500,292.88,5.12,10.47,10.47,10.47,23.16,1,0,0.0,0
25,2026-06-01T13:54:04.071698+00:00,A,480p,700,94.6,7.4,252.97,252.97,252.97,17.76,1,0,0.0,0
26,2026-06-01T13:54:08.337999+00:00,A,360p,400,93.77,4.27,86.6,86.6,86.6,15.5,1,0,0.0,0
27,2026-06-01T13:54:11.291138+00:00,A,360p,400,135.48,2.95,26.28,26.28,26.28,14.54,1,0,0.0,0
28,2026-06-01T13:54:11.475633+00:00,A,240p,200,1086.96,0.18,66.78,66.78,66.78,16.36,1,0,0.0,0
29,2026-06-01T13:54:11.796772+00:00,A,360p,400,1247.56,0.32,33.96,33.96,33.96,18.04,1,0,0.0,0
30,2026-06-01T13:54:12.135393+00:00,A,360p,400,1183.13,0.34,13.77,13.77,13.77,19.7,1,0,0.0,0
31,2026-06-01T13:54:12.480788+00:00,A,360p,400,1159.77,0.34,16.18,16.18,16.18,21.36,1,0,0.0,0
32,2026-06-01T13:54:13.045450+00:00,A,480p,700,1240.82,0.56,58.72,58.72,58.72,22.79,1,0,0.0,0
33,2026-06-01T13:54:13.635750+00:00,A,480p,700,1186.82,0.59,28.93,28.93,28.93,24.2,1,0,0.0,0
34,2026-06-01T13:54:14.233526+00:00,A,480p,700,1172.03,0.6,7.42,7.42,7.42,25.61,1,0,0.0,0
35,2026-06-01T13:54:15.470692+00:00,A,720p,1500,1212.91,1.24,218.72,218.72,218.72,26.37,1,0,0.0,0
36,2026-06-01T13:54:16.689597+00:00,A,720p,1500,1231.11,1.22,33.0,33.0,33.0,27.15,1,0,0.0,0
37,2026-06-01T13:54:17.887728+00:00,A,720p,1500,1252.48,1.2,6.35,6.35,6.35,27.95,1,0,0.0,0
38,2026-06-01T13:54:19.108361+00:00,A,720p,1500,1229.35,1.22,24.15,24.15,24.15,28.73,1,0,0.0,0
39,2026-06-01T13:54:20.320541+00:00,A,720p,1500,1237.88,1.21,29.64,29.64,29.64,29.52,1,0,0.0,0
40,2026-06-01T13:54:21.518334+00:00,A,720p,1500,1252.69,1.2,51.74,51.74,51.74,30.32,1,0,0.0,0
41,2026-06-01T13:54:23.904455+00:00,A,1080p,3000,1257.53,2.39,427.25,427.25,427.25,29.94,1,0,0.0,0
42,2026-06-01T13:54:25.058571+00:00,A,720p,1500,1300.26,1.15,478.34,478.34,478.34,30.78,1,0,0.0,0
43,2026-06-01T13:54:27.410733+00:00,A,1080p,3000,1275.7,2.35,436.49,436.49,436.49,30.43,1,0,0.0,0
44,2026-06-01T13:54:29.800551+00:00,A,1080p,3000,1255.6,2.39,40.61,40.61,40.61,30.04,1,0,0.0,0
45,2026-06-01T13:54:32.190063+00:00,A,1080p,3000,1255.74,2.39,6.5,6.5,6.5,29.65,1,0,0.0,0
46,2026-06-01T13:54:33.412716+00:00,A,720p,1500,1227.38,1.22,401.55,401.55,401.55,30.43,1,0,0.0,0
47,2026-06-01T13:54:35.784487+00:00,A,1080p,3000,1265.14,2.37,403.99,403.99,403.99,30.06,1,0,0.0,0
48,2026-06-01T13:54:38.157569+00:00,A,1080p,3000,1264.45,2.37,1.2,1.2,1.2,29.69,1,0,0.0,0
49,2026-06-01T13:54:39.338633+00:00,A,720p,1500,1270.57,1.18,463.25,463.25,463.25,30.51,1,0,0.0,0
50,2026-06-01T13:54:41.706826+00:00,A,1080p,3000,1267.05,2.37,436.55,436.55,436.55,30.14,1,0,0.0,0
51,2026-06-01T13:54:44.111810+00:00,A,1080p,3000,1247.7,2.4,38.03,38.03,38.03,29.74,1,0,0.0,0
52,2026-06-01T13:54:45.323645+00:00,A,720p,1500,1238.33,1.21,429.7,429.7,429.7,30.52,1,0,0.0,0
53,2026-06-01T13:54:47.702580+00:00,A,1080p,3000,1261.32,2.38,404.43,404.43,404.43,30.15,1,0,0.0,0
54,2026-06-01T13:54:50.092608+00:00,A,1080p,3000,1255.47,2.39,32.01,32.01,32.01,29.76,1,0,0.0,0
55,2026-06-01T13:54:51.262790+00:00,A,720p,1500,1282.33,1.17,488.41,488.41,488.41,30.59,1,0,0.0,0
56,2026-06-01T13:54:53.603358+00:00,A,1080p,3000,1282.02,2.34,426.99,426.99,426.99,30.25,1,0,0.0,0
57,2026-06-01T13:54:56.004512+00:00,A,1080p,3000,1249.65,2.4,60.15,60.15,60.15,29.85,1,0,0.0,0
58,2026-06-01T13:54:57.155910+00:00,A,720p,1500,1303.31,1.15,491.2,491.2,491.2,30.7,1,0,0.0,0
59,2026-06-01T13:54:59.480494+00:00,A,1080p,3000,1290.85,2.32,425.75,425.75,425.75,30.37,1,0,0.0,0
60,2026-06-01T13:55:01.863959+00:00,A,1080p,3000,1258.93,2.38,58.82,58.82,58.82,29.99,1,0,0.0,0
