segmento,timestamp,server_id,qualidade,bitrate_kbps,vazao_kbps,download_time_s,jitter_network_ms,jitter_ewma_ms,jitter_ms,buffer_level_s,buffer_can_play,rebuffer_event,stall_duration_s,failover_total
1,2026-06-01T13:56:07.031249+00:00,A,240p,200,1078.56,0.19,0.0,0.0,0.0,2.0,0,1,0.19,0
2,2026-06-01T13:56:07.596808+00:00,A,480p,700,1238.75,0.57,136.49,136.49,136.49,3.43,1,0,0.0,0
3,2026-06-01T13:56:08.143163+00:00,A,480p,700,1282.16,0.55,23.9,23.9,23.9,4.89,1,0,0.0,0
4,2026-06-01T13:56:08.697503+00:00,A,480p,700,1263.85,0.55,10.88,10.88,10.88,6.34,1,0,0.0,0
5,2026-06-01T13:56:09.237877+00:00,A,480p,700,1296.37,0.54,14.28,14.28,14.28,7.8,1,0,0.0,0
6,2026-06-01T13:56:09.763225+00:00,A,480p,700,1333.44,0.52,29.66,29.66,29.66,9.27,1,0,0.0,0
7,2026-06-01T13:56:10.306052+00:00,A,480p,700,1290.66,0.54,37.41,37.41,37.41,10.73,1,0,0.0,0
8,2026-06-01T13:56:10.896008+00:00,A,480p,700,1187.55,0.59,41.12,41.12,41.12,12.14,1,0,0.0,0
9,2026-06-01T13:56:11.449511+00:00,A,480p,700,1265.85,0.55,47.25,47.25,47.25,13.59,1,0,0.0,0
10,2026-06-01T13:56:11.947502+00:00,A,480p,700,1407.08,0.5,45.39,45.39,45.39,15.09,1,0,0.0,0
11,2026-06-01T13:56:12.501483+00:00,A,480p,700,1264.72,0.55,59.91,59.91,59.91,16.53,1,0,0.0,0
12,2026-06-01T13:56:13.051840+00:00,A,480p,700,1273.03,0.55,12.13,12.13,12.13,17.98,1,0,0.0,0
13,2026-06-01T13:56:13.596326+00:00,A,480p,700,1286.9,0.54,2.07,2.07,2.07,19.44,1,0,0.0,0
14,2026-06-01T13:56:14.389444+00:00,A,480p,700,883.14,0.79,4.52,4.52,4.52,20.65,1,0,0.0,0
15,2026-06-01T13:56:15.196254+00:00,A,480p,700,868.15,0.81,13.04,13.04,13.04,21.84,1,0,0.0,0
16,2026-06-01T13:56:15.994461+00:00,A,480p,700,877.51,0.8,8.95,8.95,8.95,23.04,1,0,0.0,0
17,2026-06-01T13:56:16.791309+00:00,A,480p,700,879.01,0.8,1.04,1.04,1.04,24.25,1,0,0.0,0
18,2026-06-01T13:56:17.590539+00:00,A,480p,700,876.39,0.8,2.71,2.71,2.71,25.45,1,0,0.0,0
19,2026-06-01T13:56:18.387408+00:00,A,480p,700,878.9,0.8,2.56,2.56,2.56,26.65,1,0,0.0,0
20,2026-06-01T13:56:19.192664+00:00,A,480p,700,869.82,0.8,8.28,8.28,8.28,27.85,1,0,0.0,0
21,2026-06-01T13:56:20.129135+00:00,A,480p,700,747.9,0.94,4.87,4.87,4.87,28.91,1,0,0.0,0
22,2026-06-01T13:56:20.754710+00:00,A,360p,400,639.92,0.63,74.63,74.63,74.63,30.29,1,0,0.0,0
23,2026-06-01T13:56:21.356803+00:00,A,360p,400,664.9,0.6,23.46,23.46,23.46,31.69,1,0,0.0,0
24,2026-06-01T13:56:21.961857+00:00,A,360p,400,661.68,0.6,3.22,3.22,3.22,33.08,1,0,0.0,0
25,2026-06-01T13:56:22.563452+00:00,A,360p,400,665.5,0.6,3.49,3.49,3.49,34.48,1,0,0.0,0
26,2026-06-01T13:56:23.173533+00:00,A,360p,400,656.17,0.61,8.71,8.71,8.71,35.87,1,0,0.0,0
27,2026-06-01T13:56:23.786143+00:00,A,360p,400,653.47,0.61,1.51,1.51,1.51,37.26,1,0,0.0,0
28,2026-06-01T13:56:24.402135+00:00,A,360p,400,649.89,0.62,4.08,4.08,4.08,38.64,1,0,0.0,0
29,2026-06-01T13:56:25.049638+00:00,A,360p,400,618.13,0.65,31.84,31.84,31.84,40.0,1,0,0.0,0
