segmento,timestamp,server_id,qualidade,bitrate_kbps,vazao_kbps,download_time_s,jitter_network_ms,jitter_ewma_ms,jitter_ms,buffer_level_s,buffer_can_play,rebuffer_event,stall_duration_s,failover_total
1,2026-06-01T13:10:38.651158+00:00,A,240p,200,1093.07,0.18,0.0,0.0,0.0,2.0,0,1,0.18,0
2,2026-06-01T13:10:39.232554+00:00,A,480p,700,1204.93,0.58,134.42,134.42,134.42,3.42,1,0,0.0,0
3,2026-06-01T13:10:39.813983+00:00,A,480p,700,1204.67,0.58,5.69,5.69,5.69,4.84,1,0,0.0,0
4,2026-06-01T13:10:40.436441+00:00,A,480p,700,1125.12,0.62,18.9,18.9,18.9,6.22,1,0,0.0,0
5,2026-06-01T13:10:41.010978+00:00,A,480p,700,1219.27,0.57,23.68,23.68,23.68,7.64,1,0,0.0,0
6,2026-06-01T13:10:41.619411+00:00,A,480p,700,1151.47,0.61,25.4,25.4,25.4,9.03,1,0,0.0,0
7,2026-06-01T13:10:42.168381+00:00,A,480p,700,1276.01,0.55,50.38,50.38,50.38,10.49,1,0,0.0,0
8,2026-06-01T13:10:42.743631+00:00,A,480p,700,1217.69,0.57,26.99,26.99,26.99,11.91,1,0,0.0,0
9,2026-06-01T13:10:43.269968+00:00,A,480p,700,1331.0,0.53,57.81,57.81,57.81,13.38,1,0,0.0,0
10,2026-06-01T13:10:43.833259+00:00,A,480p,700,1243.78,0.56,47.94,47.94,47.94,14.82,1,0,0.0,0
11,2026-06-01T13:10:44.412830+00:00,A,480p,700,1208.74,0.58,16.41,16.41,16.41,16.24,1,0,0.0,0
12,2026-06-01T13:10:44.964432+00:00,A,480p,700,1270.15,0.55,28.31,28.31,28.31,17.69,1,0,0.0,0
13,2026-06-01T13:10:45.529448+00:00,A,480p,700,1239.92,0.56,13.44,13.44,13.44,19.13,1,0,0.0,0
14,2026-06-01T13:10:46.113752+00:00,A,480p,700,1198.88,0.58,20.04,20.04,20.04,20.54,1,0,0.0,0
15,2026-06-01T13:10:46.672849+00:00,A,480p,700,1252.82,0.56,38.76,38.76,38.76,21.98,1,0,0.0,0
