segmento,timestamp,server_id,qualidade,bitrate_kbps,vazao_kbps,download_time_s,jitter_network_ms,jitter_ewma_ms,jitter_ms,buffer_level_s,buffer_can_play,rebuffer_event,stall_duration_s,failover_total
1,2026-06-14T14:37:35.976840+00:00,A,240p,200,948.83,0.21,0.0,0.0,0.0,2.0,0,1,0.21,0
2,2026-06-14T14:37:36.569887+00:00,A,480p,700,1180.96,0.59,123.61,123.61,123.61,3.41,1,0,0.0,0
3,2026-06-14T14:37:37.165116+00:00,A,480p,700,1176.56,0.59,3.75,3.75,3.75,4.81,1,0,0.0,0
4,2026-06-14T14:37:37.722256+00:00,A,480p,700,1257.23,0.56,49.59,49.59,49.59,6.26,1,0,0.0,0
5,2026-06-14T14:37:38.396535+00:00,A,480p,700,1038.75,0.67,102.08,102.08,102.08,7.58,1,0,0.0,0
6,2026-06-14T14:37:39.007356+00:00,A,480p,700,1146.55,0.61,41.18,41.18,41.18,8.97,1,0,0.0,0
7,2026-06-14T14:37:39.676972+00:00,A,480p,700,1046.04,0.67,56.18,56.18,56.18,10.3,1,0,0.0,0
8,2026-06-14T14:37:40.377927+00:00,A,480p,700,999.23,0.7,26.84,26.84,26.84,11.6,1,0,0.0,0
9,2026-06-14T14:37:40.972814+00:00,A,480p,700,1177.49,0.59,94.31,94.31,94.31,13.01,1,0,0.0,0
10,2026-06-14T14:37:41.595145+00:00,A,480p,700,1125.39,0.62,13.79,13.79,13.79,14.38,1,0,0.0,0
11,2026-06-14T14:37:42.205165+00:00,A,480p,700,1148.34,0.61,4.41,4.41,4.41,15.78,1,0,0.0,0
12,2026-06-14T14:37:42.813458+00:00,A,480p,700,1151.44,0.61,3.85,3.85,3.85,17.17,1,0,0.0,0
13,2026-06-14T14:37:43.419091+00:00,A,480p,700,1156.55,0.61,1.69,1.69,1.69,18.56,1,0,0.0,0
14,2026-06-14T14:37:44.014402+00:00,A,480p,700,1176.35,0.6,10.47,10.47,10.47,19.97,1,0,0.0,0
15,2026-06-14T14:37:45.098953+00:00,A,480p,700,645.58,1.08,6.65,6.65,6.65,20.88,1,0,0.0,0
16,2026-06-14T14:37:45.774403+00:00,A,360p,400,592.48,0.68,95.62,95.62,95.62,22.21,1,0,0.0,0
17,2026-06-14T14:37:46.454599+00:00,A,360p,400,588.45,0.68,6.89,6.89,6.89,23.53,1,0,0.0,0
18,2026-06-14T14:37:47.131175+00:00,A,360p,400,592.0,0.68,4.61,4.61,4.61,24.85,1,0,0.0,0
19,2026-06-14T14:37:48.294086+00:00,A,480p,700,602.34,1.16,66.87,66.87,66.87,25.69,1,0,0.0,0
