segmento,timestamp,server_id,qualidade,bitrate_kbps,vazao_kbps,download_time_s,jitter_network_ms,jitter_ewma_ms,jitter_ms,buffer_level_s,buffer_can_play,rebuffer_event,stall_duration_s,failover_total
1,2026-06-01T13:57:29.769754+00:00,A,240p,200,1097.76,0.18,0.0,0.0,0.0,2.0,0,1,0.18,0
2,2026-06-01T13:57:30.337916+00:00,A,480p,700,1233.13,0.57,129.69,129.69,129.69,3.43,1,0,0.0,0
3,2026-06-01T13:57:30.904112+00:00,A,480p,700,1237.49,0.57,4.06,4.06,4.06,4.87,1,0,0.0,0
4,2026-06-01T13:57:31.551488+00:00,A,480p,700,1081.93,0.65,54.72,54.72,54.72,6.22,1,0,0.0,0
5,2026-06-01T13:57:32.115499+00:00,A,480p,700,1242.22,0.56,57.44,57.44,57.44,7.66,1,0,0.0,0
6,2026-06-01T13:57:32.709482+00:00,A,480p,700,1179.35,0.59,32.19,32.19,32.19,9.06,1,0,0.0,0
7,2026-06-01T13:57:33.257255+00:00,A,480p,700,1278.95,0.55,52.88,52.88,52.88,10.52,1,0,0.0,0
8,2026-06-01T13:57:33.827233+00:00,A,480p,700,1229.01,0.57,29.44,29.44,29.44,11.95,1,0,0.0,0
9,2026-06-01T13:57:34.366536+00:00,A,480p,700,1299.12,0.54,47.37,47.37,47.37,13.41,1,0,0.0,0
10,2026-06-01T13:57:34.942561+00:00,A,480p,700,1216.15,0.58,52.94,52.94,52.94,14.83,1,0,0.0,0
11,2026-06-01T13:57:35.519193+00:00,A,480p,700,1214.79,0.58,1.58,1.58,1.58,16.26,1,0,0.0,0
12,2026-06-01T13:57:36.103570+00:00,A,480p,700,1198.65,0.58,6.54,6.54,6.54,17.67,1,0,0.0,0
13,2026-06-01T13:57:36.702522+00:00,A,480p,700,1169.65,0.6,14.28,14.28,14.28,19.07,1,0,0.0,0
14,2026-06-01T13:57:37.310444+00:00,A,480p,700,1152.37,0.61,9.93,9.93,9.93,20.47,1,0,0.0,0
15,2026-06-01T13:57:37.857944+00:00,A,480p,700,1279.71,0.55,64.42,64.42,64.42,21.92,1,0,0.0,0
16,2026-06-01T13:57:39.009926+00:00,A,480p,700,607.92,1.15,21.37,21.37,21.37,22.77,1,0,0.0,0
17,2026-06-01T13:57:39.673190+00:00,A,360p,400,603.58,0.66,68.66,68.66,68.66,24.1,1,0,0.0,0
18,2026-06-01T13:57:40.320839+00:00,A,360p,400,618.08,0.65,15.67,15.67,15.67,25.46,1,0,0.0,0
19,2026-06-01T13:57:40.976017+00:00,A,360p,400,611.0,0.65,7.79,7.79,7.79,26.8,1,0,0.0,0
20,2026-06-01T13:57:41.615161+00:00,A,360p,400,626.37,0.64,16.15,16.15,16.15,28.16,1,0,0.0,0
21,2026-06-01T13:57:42.271327+00:00,A,360p,400,610.05,0.66,16.59,16.59,16.59,29.51,1,0,0.0,0
22,2026-06-01T13:57:42.912758+00:00,A,360p,400,624.07,0.64,14.27,14.27,14.27,30.87,1,0,0.0,0
23,2026-06-01T13:57:43.569791+00:00,A,360p,400,609.28,0.66,15.25,15.25,15.25,32.21,1,0,0.0,0
24,2026-06-01T13:57:44.120425+00:00,A,360p,400,727.11,0.55,17.38,17.38,17.38,33.66,1,0,0.0,0
25,2026-06-01T13:57:44.516208+00:00,A,360p,400,1011.93,0.4,16.49,16.49,16.49,35.27,1,0,0.0,0
26,2026-06-01T13:57:45.219627+00:00,A,480p,700,995.82,0.7,96.82,96.82,96.82,36.56,1,0,0.0,0
27,2026-06-01T13:57:45.922700+00:00,A,480p,700,996.32,0.7,0.28,0.28,0.28,37.86,1,0,0.0,0
28,2026-06-01T13:57:46.566219+00:00,A,480p,700,1088.46,0.64,58.81,58.81,58.81,39.22,1,0,0.0,0
29,2026-06-01T13:57:47.240573+00:00,A,480p,700,1038.75,0.67,30.38,30.38,30.38,40.54,1,0,0.0,0
