segmento,timestamp,server_id,qualidade,bitrate_kbps,vazao_kbps,download_time_s,jitter_network_ms,jitter_ewma_ms,jitter_ms,buffer_level_s,buffer_can_play,rebuffer_event,stall_duration_s,failover_total
1,2026-06-01T00:15:51.894889+00:00,A,240p,200,881.94,0.23,0.0,0.0,0.0,2.0,0,1,0.23,0
2,2026-06-01T00:15:52.620504+00:00,A,480p,700,965.26,0.73,138.79,138.79,138.79,3.27,1,0,0.0,0
3,2026-06-01T00:15:53.376907+00:00,A,480p,700,925.9,0.76,40.41,40.41,40.41,4.52,1,0,0.0,0
4,2026-06-01T00:15:54.126284+00:00,A,480p,700,934.61,0.75,47.67,47.67,47.67,5.77,1,0,0.0,0
5,2026-06-01T00:15:54.876553+00:00,A,480p,700,933.41,0.75,41.92,41.92,41.92,7.02,1,0,0.0,0
6,2026-06-01T00:15:55.539767+00:00,A,480p,700,1056.12,0.66,86.37,86.37,86.37,8.36,1,0,0.0,0
7,2026-06-01T00:15:56.273846+00:00,A,480p,700,954.1,0.73,70.54,70.54,70.54,9.62,1,0,0.0,0
8,2026-06-01T00:15:56.980066+00:00,A,480p,700,991.77,0.71,27.88,27.88,27.88,10.92,1,0,0.0,0
9,2026-06-01T00:15:57.694446+00:00,A,480p,700,980.45,0.71,8.34,8.34,8.34,12.2,1,0,0.0,0
10,2026-06-01T00:16:12.621301+00:00,A,480p,700,46.9,14.93,6.07,6.07,6.07,2.0,0,1,2.72,0
11,2026-06-01T00:16:17.897915+00:00,A,240p,200,37.91,5.28,593.57,593.57,593.57,2.0,0,1,3.28,0
12,2026-06-01T00:16:18.135659+00:00,A,240p,200,842.69,0.24,715.28,715.28,715.28,3.76,1,0,0.0,0
13,2026-06-01T00:16:18.878379+00:00,A,480p,700,943.0,0.74,155.68,155.68,155.68,5.02,1,0,0.0,0
14,2026-06-01T00:16:19.604333+00:00,A,480p,700,964.85,0.73,17.32,17.32,17.32,6.29,1,0,0.0,0
15,2026-06-01T00:16:20.307526+00:00,A,480p,700,996.1,0.7,22.36,22.36,22.36,7.59,1,0,0.0,0
16,2026-06-01T00:16:21.044387+00:00,A,480p,700,950.51,0.74,4.37,4.37,4.37,8.86,1,0,0.0,0
17,2026-06-01T00:16:21.781316+00:00,A,480p,700,950.45,0.74,29.22,29.22,29.22,10.12,1,0,0.0,0
18,2026-06-01T00:16:22.497360+00:00,A,480p,700,980.17,0.71,21.77,21.77,21.77,11.41,1,0,0.0,0
19,2026-06-01T00:16:23.199589+00:00,A,480p,700,997.36,0.7,12.39,12.39,12.39,12.7,1,0,0.0,0
20,2026-06-01T00:16:23.904946+00:00,A,480p,700,992.83,0.71,2.91,2.91,2.91,14.0,1,0,0.0,0
21,2026-06-01T00:16:24.609848+00:00,A,480p,700,993.41,0.7,1.12,1.12,1.12,15.29,1,0,0.0,0
22,2026-06-01T00:16:25.311301+00:00,A,480p,700,998.31,0.7,1.91,1.91,1.91,16.59,1,0,0.0,0
23,2026-06-01T00:16:26.031492+00:00,A,480p,700,972.38,0.72,12.16,12.16,12.16,17.87,1,0,0.0,0
24,2026-06-01T00:16:26.775239+00:00,A,480p,700,941.63,0.74,28.79,28.79,28.79,19.13,1,0,0.0,0
25,2026-06-01T00:16:27.476783+00:00,A,480p,700,998.24,0.7,41.26,41.26,41.26,20.43,1,0,0.0,0
26,2026-06-01T00:16:28.182334+00:00,A,480p,700,992.69,0.71,3.44,3.44,3.44,21.72,1,0,0.0,0
27,2026-06-01T00:16:28.897059+00:00,A,480p,700,979.99,0.71,9.53,9.53,9.53,23.01,1,0,0.0,0
28,2026-06-01T00:16:29.600988+00:00,A,480p,700,995.0,0.7,12.18,12.18,12.18,24.3,1,0,0.0,0
29,2026-06-01T00:16:30.296184+00:00,A,480p,700,1007.48,0.69,8.62,8.62,8.62,25.61,1,0,0.0,0
30,2026-06-01T00:16:31.005665+00:00,A,480p,700,987.21,0.71,15.55,15.55,15.55,26.9,1,0,0.0,0
31,2026-06-01T00:16:31.722095+00:00,A,480p,700,977.56,0.72,7.06,7.06,7.06,28.18,1,0,0.0,0
32,2026-06-01T00:16:32.478498+00:00,A,480p,700,925.82,0.76,39.41,39.41,39.41,29.43,1,0,0.0,0
33,2026-06-01T00:16:42.836518+00:00,A,480p,700,67.58,10.36,17.36,17.36,17.36,21.07,1,0,0.0,0
34,2026-06-01T00:16:43.080060+00:00,A,240p,200,822.47,0.24,145.58,145.58,145.58,22.83,1,0,0.0,0
35,2026-06-01T00:16:43.492171+00:00,A,360p,400,971.38,0.41,28.34,28.34,28.34,24.42,1,0,0.0,0
36,2026-06-01T00:16:44.199270+00:00,A,480p,700,990.66,0.71,85.61,85.61,85.61,25.71,1,0,0.0,0
37,2026-06-01T00:16:44.912006+00:00,A,480p,700,982.72,0.71,4.94,4.94,4.94,27.0,1,0,0.0,0
38,2026-06-01T00:16:45.631782+00:00,A,480p,700,973.08,0.72,2.71,2.71,2.71,28.28,1,0,0.0,0
39,2026-06-01T00:16:46.355273+00:00,A,480p,700,968.0,0.72,25.89,25.89,25.89,29.55,1,0,0.0,0
40,2026-06-01T00:16:47.076626+00:00,A,480p,700,970.81,0.72,32.86,32.86,32.86,30.83,1,0,0.0,0
41,2026-06-01T00:16:47.784620+00:00,A,480p,700,989.13,0.71,14.32,14.32,14.32,32.13,1,0,0.0,0
42,2026-06-01T00:16:48.495370+00:00,A,480p,700,985.33,0.71,3.44,3.44,3.44,33.42,1,0,0.0,0
43,2026-06-01T00:16:49.220316+00:00,A,480p,700,966.04,0.72,14.75,14.75,14.75,34.69,1,0,0.0,0
44,2026-06-01T00:16:49.921715+00:00,A,480p,700,998.54,0.7,24.02,24.02,24.02,35.99,1,0,0.0,0
45,2026-06-01T00:16:50.624124+00:00,A,480p,700,997.07,0.7,1.38,1.38,1.38,37.29,1,0,0.0,0
46,2026-06-01T00:16:51.376245+00:00,A,480p,700,931.08,0.75,49.44,49.44,49.44,38.54,1,0,0.0,0
47,2026-06-01T00:16:52.085019+00:00,A,480p,700,988.22,0.71,48.08,48.08,48.08,39.83,1,0,0.0,0
48,2026-06-01T00:16:52.820460+00:00,A,480p,700,952.33,0.74,0.89,0.89,0.89,41.09,1,0,0.0,0
49,2026-06-01T00:16:53.575948+00:00,A,480p,700,926.95,0.76,52.27,52.27,52.27,42.34,1,0,0.0,0
50,2026-06-01T00:16:54.284033+00:00,A,480p,700,989.18,0.71,47.34,47.34,47.34,43.63,1,0,0.0,0
51,2026-06-01T00:16:55.206454+00:00,A,480p,700,759.3,0.92,213.36,213.36,213.36,44.71,1,0,0.0,0
52,2026-06-01T00:16:55.625480+00:00,A,360p,400,955.43,0.42,303.01,303.01,303.01,46.29,1,0,0.0,0
53,2026-06-01T00:16:56.321757+00:00,A,480p,700,1005.72,0.7,77.92,77.92,77.92,47.59,1,0,0.0,0
54,2026-06-01T00:16:57.022331+00:00,A,480p,700,999.61,0.7,3.68,3.68,3.68,48.89,1,0,0.0,0
55,2026-06-01T00:16:57.791380+00:00,A,480p,700,910.73,0.77,68.79,68.79,68.79,50.12,1,0,0.0,0
56,2026-06-01T00:16:58.375924+00:00,A,480p,700,1198.42,0.58,61.93,61.93,61.93,51.54,1,0,0.0,0
57,2026-06-01T00:16:58.972384+00:00,A,480p,700,1174.48,0.6,7.8,7.8,7.8,52.94,1,0,0.0,0
58,2026-06-01T00:16:59.564162+00:00,A,480p,700,1183.63,0.59,4.8,4.8,4.8,54.35,1,0,0.0,0
59,2026-06-01T00:17:00.157985+00:00,A,480p,700,1179.38,0.59,1.64,1.64,1.64,55.76,1,0,0.0,0
60,2026-06-01T00:17:00.735171+00:00,A,480p,700,1213.61,0.58,6.0,6.0,6.0,57.18,1,0,0.0,0
