segmento,timestamp,server_id,qualidade,bitrate_kbps,vazao_kbps,download_time_s,jitter_network_ms,jitter_ewma_ms,jitter_ms,buffer_level_s,buffer_can_play,rebuffer_event,stall_duration_s,failover_total
1,2026-06-01T17:44:07.039504+00:00,A,240p,200,482.88,0.41,0.0,0.0,0.0,2.0,0,1,0.41,0
2,2026-06-01T17:44:07.666357+00:00,A,360p,400,638.63,0.63,35.55,35.55,35.55,3.37,1,0,0.0,0
3,2026-06-01T17:44:08.317211+00:00,A,360p,400,615.0,0.65,29.37,29.37,29.37,4.72,1,0,0.0,0
4,2026-06-01T17:44:08.911815+00:00,A,360p,400,673.23,0.59,29.63,29.63,29.63,6.13,1,0,0.0,0
5,2026-06-01T17:44:09.504021+00:00,A,360p,400,676.02,0.59,7.61,7.61,7.61,7.54,1,0,0.0,0
6,2026-06-01T17:44:10.101759+00:00,A,360p,400,669.72,0.6,8.91,8.91,8.91,8.94,1,0,0.0,0
7,2026-06-01T17:44:10.698637+00:00,A,360p,400,670.74,0.6,0.88,0.88,0.88,10.34,1,0,0.0,0
8,2026-06-01T17:44:11.397184+00:00,A,360p,400,573.06,0.7,95.15,95.15,95.15,11.65,1,0,0.0,0
9,2026-06-01T17:44:12.068600+00:00,A,360p,400,596.19,0.67,32.05,32.05,32.05,12.97,1,0,0.0,0
10,2026-06-01T17:44:22.495350+00:00,A,360p,400,38.36,10.43,19.86,19.86,19.86,4.55,1,0,0.0,0
11,2026-06-01T17:44:32.667885+00:00,A,240p,200,19.66,10.17,2233.95,2233.95,2233.95,2.0,0,1,5.62,0
12,2026-06-01T17:44:33.089354+00:00,A,240p,200,475.05,0.42,2308.45,2308.45,2308.45,3.58,1,0,0.0,0
13,2026-06-01T17:44:36.017759+00:00,A,360p,400,136.61,2.93,2334.95,2334.95,2334.95,2.65,1,0,0.0,0
14,2026-06-01T17:44:38.596405+00:00,A,240p,200,77.58,2.58,177.63,177.63,177.63,2.07,1,0,0.0,0
