segmento,timestamp,server_id,qualidade,bitrate_kbps,vazao_kbps,download_time_s,jitter_network_ms,jitter_ewma_ms,jitter_ms,buffer_level_s,buffer_can_play,rebuffer_event,stall_duration_s,failover_total
1,2026-06-01T14:03:20.215758+00:00,A,240p,200,969.89,0.21,0.0,0.0,0.0,2.0,0,1,0.21,0
2,2026-06-01T14:03:20.895922+00:00,A,480p,700,1030.0,0.68,121.99,121.99,121.99,3.32,1,0,0.0,0
3,2026-06-01T14:03:21.595766+00:00,A,480p,700,1001.03,0.7,16.83,16.83,16.83,4.62,1,0,0.0,0
4,2026-06-01T14:03:22.318600+00:00,A,480p,700,969.13,0.72,15.96,15.96,15.96,5.9,1,0,0.0,0
5,2026-06-01T14:03:22.998811+00:00,A,480p,700,1029.82,0.68,0.19,0.19,0.19,7.22,1,0,0.0,0
6,2026-06-01T14:03:23.675852+00:00,A,480p,700,1034.71,0.68,3.19,3.19,3.19,8.54,1,0,0.0,0
7,2026-06-01T14:03:24.377653+00:00,A,480p,700,998.17,0.7,24.77,24.77,24.77,9.84,1,0,0.0,0
8,2026-06-01T14:03:25.035039+00:00,A,480p,700,1065.61,0.66,44.15,44.15,44.15,11.18,1,0,0.0,0
9,2026-06-01T14:03:25.720576+00:00,A,480p,700,1021.88,0.69,28.36,28.36,28.36,12.5,1,0,0.0,0
10,2026-06-01T14:03:26.396369+00:00,A,480p,700,1036.57,0.68,10.21,10.21,10.21,13.82,1,0,0.0,0
11,2026-06-01T14:03:38.867037+00:00,A,480p,700,56.13,12.47,21.36,21.36,21.36,3.35,1,0,0.0,0
12,2026-06-01T14:03:43.465788+00:00,A,240p,200,43.5,4.6,94.84,94.84,94.84,2.0,0,1,1.24,0
13,2026-06-01T14:03:46.771174+00:00,A,240p,200,60.52,3.3,56.61,56.61,56.61,2.0,0,1,1.3,0
14,2026-06-01T14:03:46.977921+00:00,A,240p,200,969.67,0.21,59.18,59.18,59.18,3.79,1,0,0.0,0
15,2026-06-01T14:03:47.676239+00:00,A,480p,700,1003.14,0.7,141.19,141.19,141.19,5.1,1,0,0.0,0
16,2026-06-01T14:03:48.326310+00:00,A,480p,700,1077.6,0.65,47.88,47.88,47.88,6.45,1,0,0.0,0
17,2026-06-01T14:03:49.009364+00:00,A,480p,700,1025.55,0.68,32.67,32.67,32.67,7.76,1,0,0.0,0
18,2026-06-01T14:03:49.696535+00:00,A,480p,700,1019.41,0.69,4.03,4.03,4.03,9.08,1,0,0.0,0
19,2026-06-01T14:03:50.379587+00:00,A,480p,700,1025.57,0.68,4.34,4.34,4.34,10.39,1,0,0.0,0
20,2026-06-01T14:03:51.078073+00:00,A,480p,700,1002.87,0.7,15.73,15.73,15.73,11.7,1,0,0.0,0
21,2026-06-01T14:03:51.776665+00:00,A,480p,700,1002.78,0.7,0.0,0.0,0.0,13.0,1,0,0.0,0
