segmento,timestamp,server_id,qualidade,bitrate_kbps,vazao_kbps,download_time_s,jitter_network_ms,jitter_ewma_ms,jitter_ms,buffer_level_s,buffer_can_play,rebuffer_event,stall_duration_s,failover_total
1,2026-06-21T16:49:56.910917+00:00,A,240p,200,1168.17,0.17,22.16,22.16,22.16,2.0,0,1,0.17,0
2,2026-06-21T16:49:57.587710+00:00,A,720p,900,1331.15,0.68,26.86,22.75,26.86,3.32,1,0,0.0,0
3,2026-06-21T16:49:58.678643+00:00,A,1080p,1200,1100.44,1.09,5.34,20.57,5.34,4.23,1,0,0.0,0
4,2026-06-21T16:49:59.373989+00:00,A,720p,900,1294.76,0.7,23.62,20.95,23.62,5.54,1,0,0.0,0
5,2026-06-21T16:50:00.367223+00:00,A,1080p,1200,1208.51,0.99,8.42,19.39,8.42,6.55,1,0,0.0,0
6,2026-06-21T16:50:01.316695+00:00,A,1080p,1200,1264.16,0.95,24.44,20.02,24.44,7.6,1,0,0.0,0
7,2026-06-21T16:50:02.272384+00:00,A,1080p,1200,1255.97,0.96,30.12,21.28,30.12,8.64,1,0,0.0,0
8,2026-06-21T16:50:03.217971+00:00,A,1080p,1200,1269.42,0.95,27.31,22.03,27.31,9.7,1,0,0.0,0
9,2026-06-21T16:50:04.137612+00:00,A,1080p,1200,1305.24,0.92,16.93,21.4,16.93,10.78,1,0,0.0,0
10,2026-06-21T16:50:05.043951+00:00,A,1080p,1200,1324.64,0.91,25.43,21.9,25.43,11.87,1,0,0.0,0
11,2026-06-21T16:50:05.989639+00:00,A,1080p,1200,1269.23,0.95,20.94,21.78,20.94,12.92,1,0,0.0,0
12,2026-06-21T16:50:06.927823+00:00,A,1080p,1200,1279.43,0.94,28.98,22.68,28.98,13.99,1,0,0.0,0
13,2026-06-21T16:50:07.842830+00:00,A,1080p,1200,1311.91,0.91,28.54,23.41,28.54,15.07,1,0,0.0,0
14,2026-06-21T16:50:08.915252+00:00,A,1080p,1200,1119.29,1.07,24.49,23.55,24.49,16.0,1,0,0.0,0
15,2026-06-21T16:50:09.570099+00:00,A,720p,900,1375.08,0.65,23.85,23.59,23.85,17.35,1,0,0.0,0
16,2026-06-21T16:50:10.632571+00:00,A,1080p,1200,1129.71,1.06,22.38,23.43,22.38,18.28,1,0,0.0,0
17,2026-06-21T16:50:11.284152+00:00,A,720p,900,1382.25,0.65,26.59,23.83,26.59,19.63,1,0,0.0,0
18,2026-06-21T16:50:12.240241+00:00,A,1080p,1200,1255.56,0.96,24.81,23.95,24.81,20.68,1,0,0.0,0
